Split,Name,Season,Region,Games,Win Rate,K:D,GPM,GDM,Game Duration,Kills/Game,Deaths/Game,Towers Killed,Towers Lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA-15MIN,TG-15MIN,GD-15MIN,NASHPG,NASH%,CSM,DPM,WPW,VWPM,WCPM
Summer,Team Just Alpha,S8,CIS,23,56.50%,1.22,1796,70,37:19:00,16.4,13.5,7.2,5.4,65.2,87,2.48,58.1,0.52,52.2,0.65,0.7,1145,1.04,60.2,32.2,2075,3.6,1.42,1.35
Summer,Team Liquid,S8,NA,35,65.70%,1.17,1836,109,32:28:00,11.1,9.5,6.9,4.8,51.4,42.9,2.49,66.6,0.49,50,0.86,-0.1,308,0.63,57.8,35.4,1744,3.5,1.36,1.46
Summer,Team Liquid Academy,S8,NA,22,59.10%,1.2,1857,140,32:20:00,13.1,10.9,6.8,4.6,40.9,54.5,2.09,62.7,0.5,57.9,0.81,0.5,921,0.73,57.9,34.7,1747,3,1.3,1.15
Summer,Team Mineski,S8,SEA,10,50.00%,1.08,1894,102,31:39:00,17.6,16.2,6.9,6.2,70,70,1.3,41.8,0.4,40,0.3,0.3,1254,0.9,66.7,32.1,2312,2.7,0.89,1.2
Summer,Team SoloMid,S8,NA,41,53.70%,1.15,1803,64,34:47:00,11.5,9.9,6.9,6,53.7,31.7,2.17,55,0.56,57.5,0.68,-0.4,24,0.85,61.8,34.8,1899,3.3,1.28,1.19
Summer,Team Vitality,S8,EUW,34,61.80%,1.09,1828,111,33:07:00,13.4,12.1,7.3,5.1,47.1,64.7,1.91,65.9,0.59,58.8,0.65,0.5,1017,0.85,61.5,33,1852,3.3,1.2,1.35
Summer,Team WE,S8,CN,48,39.60%,0.9,1763,-27,35:16:00,10.6,11.7,5.5,6.8,39.6,45.8,1.85,47.9,-,-,-,-,-,0.65,47.5,34,1831,3.3,1.22,1.49
Summer,Tectonic,S8,OCE,22,27.30%,0.62,1684,-218,32:50:00,9.4,15,4.5,8.1,18.2,36.4,1.23,35.6,0.5,50,0.41,0,-748,0.41,26.1,32.2,1826,3.1,1.26,1.05
Summer,Topsports Gaming,S8,CN,55,47.30%,0.94,1791,-24,34:01:00,12.1,13,6.3,5.7,52.7,56.4,1.93,52,-,-,-,-,0,0.6,45.9,34,1772,3.3,1.29,1.48
Summer,TSM Academy,S8,NA,18,38.90%,0.8,1670,-150,34:32:00,8.7,10.9,4.9,7.4,77.8,27.8,1.89,50.8,0.5,50,0.67,-0.8,-1338,0.5,32.3,32.8,1507,2.7,1.08,1.09
Summer,Turing eSports,S8,EUW,3,33.30%,0.67,1692,-212,35:23:00,8.7,13,5,8.3,33.3,33.3,1.67,38.3,0,0,0.67,-1,-1216,0.33,33.3,33.7,1735,3,1.13,1.19
Summer,Unicorns Of Love,S8,EUW,18,38.90%,0.69,1718,-137,31:15:00,9.6,13.7,5.4,7,50,33.3,0.83,37.5,0.39,41.2,0.28,-0.6,-1439,0.67,47.2,33,1694,3.1,1.13,1.15
Summer,Unsold Stuff Gaming,S8,JP,36,47.20%,0.84,1704,-58,34:12:00,9.5,11.3,4.9,6.5,38.9,33.3,1.5,45,0.33,35.3,0.42,-0.4,-572,0.58,44.8,33,1689,3.2,1.17,1.31
Summer,V3 Esports,S8,JP,25,40.00%,0.95,1686,-114,33:54:00,12.4,13,5,6.9,44,44,1.36,37.3,0.44,44,0.32,-0.4,-725,0.68,42,31,2060,2.9,1.14,1.19
Summer,Vaevictis eSports,S8,CIS,14,21.40%,0.73,1620,-279,35:20:00,11.2,15.3,4.1,8.4,71.4,35.7,1.43,32.6,0.36,35.7,0.36,-0.7,-1336,0.43,28.6,30.8,1869,3.3,1.39,1.21
Summer,Vega Squadron,S8,CIS,14,50.00%,1.01,1810,76,33:24:00,14.2,14.1,5.9,5.6,35.7,57.1,1.5,53.3,0.57,57.1,0.64,0.4,453,0.71,59.7,32.4,2030,3,1.3,1.35
Summer,Vici Gaming,S8,CN,46,21.70%,0.63,1679,-235,33:57:00,10.6,16.8,4.2,8.2,30.4,23.9,1.54,39.5,-,-,-,-,-,0.37,20.7,32.4,1804,3.1,1.22,1.26
Summer,Vikings Gaming,S8,VN,34,14.70%,0.61,1640,-418,29:57:00,11.6,18.8,2.4,8.7,32.4,5.9,0.88,31.2,0.15,15.2,0.38,-1.7,-3071,0.32,19.3,31.4,1682,2.9,1.17,1.1
Summer,Vivo Keyd,S8,BR,30,56.70%,1.32,1833,103,32:49:00,16.3,12.4,6.3,5.2,63.3,46.7,1.47,48.3,0.5,51.7,0.57,-0.3,426,0.8,64.3,32.7,1917,3.2,1.36,1.2
Summer,Vodafone Giants Gaming,S8,EUW,44,54.50%,1.17,1829,88,31:27:00,12.9,11,6.6,5.7,45.5,36.4,1.8,54.5,0.43,44.2,0.68,0,-5,0.68,58.1,33.7,1945,2.9,1.1,1.18
Summer,XD Prinfor,S8,PT,12,16.70%,0.51,1583,-344,28:49:00,7,13.8,2.5,8.7,41.7,41.7,0.42,13.2,0.08,8.3,0.25,-1.3,-1770,0.08,11.1,31.1,1415,3.1,1.12,0.98
Summer,yng Sharks,S8,PT,12,50.00%,1.01,1779,33,31:11:00,12.2,12.1,6.1,5.5,50,50,1.92,61.9,0.42,45.5,0.67,-0.2,-214,0.83,55.6,31.8,1876,2.7,0.96,1.23
Summer,YouthCrew Esports,S8,TR,33,30.30%,0.85,1755,-92,34:20:00,12.6,14.8,5.2,7.4,63.6,42.4,1.91,47.3,0.48,50,0.64,-0.1,-223,0.48,28.8,34.1,1685,3.1,1.16,1.35
Summer,Zaga Talent Gaming,S8,LAN,14,7.10%,0.58,1597,-336,34:21:00,8.3,14.4,2.9,9.3,14.3,-,1.5,33.9,0.29,28.6,0.29,-1.2,-1746,0.5,25.6,31.6,1599,3,1.11,1.01
