Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
224,Zac,Jungle,49.89%,3.99%,0.71%,5.64,4.16,4.33,10.76,5,12848,35578,31086,35.2,5.53,76.03,9779,13,5
225,Zed,Middle,51.08%,6.17%,3.63%,6.7,9.01,6.16,5.73,10,22482,20613,3078,168,1.93,4.12,12166,1,1
226,Ziggs,ADC,50.14%,0.28%,0.01%,6.2,5.57,5.59,8.77,6,24880,15685,1833,182.8,1.8,6.12,11758,18,0
227,Ziggs,Middle,48.99%,0.69%,0.01%,5.1,5.42,5.44,7.74,5,24706,16048,1435,184.1,1.68,7.02,11659,30,9
228,Zilean,Middle,49.71%,0.27%,0.11%,8.4,3.74,4.42,10.78,4,16216,18580,7998,162.9,0.96,3.83,10210,46,13
229,Zilean,Support,52.30%,1.93%,0.11%,7.05,2.21,4.69,11.61,4,9731,13896,5307,38.5,0.25,0.36,7621,25,2
230,Zoe,Middle,48.04%,2.94%,0.65%,NaN,6.71,5.53,7.26,9,21708,17935,3902,155.9,1.05,4.66,10966,25,2
231,Zoe,Support,52.08%,0.66%,0.65%,NaN,3.88,3.62,4.25,6,10223,9665,1698,89.2,0.42,1.21,6920,32,3
232,Zyra,Support,50.99%,2.19%,0.13%,7.06,3.48,6.12,9.9,5,17316,14699,1496,36,0.65,1.08,8555,19,2
"Champion.gg isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games or anyone officially involved in producing or managing League of Legends. League of Legends and Riot Games are trademarks or registered trademarks of Riot Games, Inc. League of Legends © Riot Games, Inc.",,,,,,,,,,,,,,,,,,,
Blitz App • FortniteMaster • StatsRealmRoyale • PUBG‌ • ProBuilds • Store‌ • TSM News‌ • ChampionSelect‌ • LoLCounter‌ • NewsOfLegends • DotaHut • Terms of Service • Privacy Policy • Contact Us • Advertise with us,,,,,,,,,,,,,,,,,,,
