Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
72,Kog'Maw,ADC,52.17%,1.84%,0.09%,3.81,7.82,6.46,7.26,7,25192,19302,2993,176,2.14,8.9,12394,2,2
73,Kog'Maw,Middle,49.64%,0.62%,0.09%,7.86,7.08,6.08,6.73,8,25560,17274,1396,185.5,2.16,9.01,12107,13,4
74,LeBlanc,Middle,47.21%,3.11%,1.18%,4.65,7.44,5.11,6.48,6,19149,20383,4296,141.9,1.37,5.06,10806,24,6
75,LeBlanc,Support,49.35%,0.63%,1.18%,10.92,3.83,3.17,3.29,5,8545,10142,1495,85.6,0.42,1.49,6532,34,8
76,Lee Sin,Jungle,47.14%,11.78%,1.75%,10.04,6.26,5.5,7.77,8,12404,26162,7540,26,8.61,72.03,10279,12,6
77,Leona,Support,51.26%,5.37%,1.82%,4.81,1.98,5.76,12.02,4,6754,17507,1883,31.9,0.05,0.06,7401,13,8
78,Lissandra,Middle,50.50%,1.10%,0.08%,3.38,5.9,5.95,8.7,7,19459,20111,2839,167.5,1.37,4.67,11113,34,1
79,Lucian,ADC,47.81%,4.86%,0.21%,7.87,7.14,5.86,7.13,7,19646,19443,2777,182.4,2.65,9.08,12254,15,3
80,Lulu,Support,52.16%,9.07%,1.76%,6.57,1.51,4.73,13.49,4,5405,12205,1927,23.4,0.09,0.12,7378,4,1
81,Lux,Middle,50.40%,2.18%,0.15%,5.29,6.33,5.27,9.23,7,21462,14296,1160,156.2,0.93,3.49,11033,18,8
82,Lux,Support,50.43%,4.06%,0.15%,6.96,3.81,5.76,10.54,7,14724,11942,1073,39.9,0.36,0.7,8459,15,4
83,Malphite,Support,48.61%,1.31%,0.46%,6.12,3.4,5.16,7.14,5,11521,13885,1088,60.8,0.37,0.92,7484,39,1
84,Malphite,Top,50.07%,2.75%,0.46%,3.92,4.79,5.08,7.93,7,17808,19837,2247,149.4,1.12,2.1,10358,26,7
85,Malzahar,Middle,50.92%,1.38%,0.35%,6.48,5.07,5.34,7.64,6,20319,15147,1071,187.4,1.8,5.69,11699,27,5
86,Maokai,Support,49.91%,0.98%,0.12%,4.84,2.3,4.85,8.4,4,10888,18190,4938,54.9,0.34,0.38,7057,36,3
87,Maokai,Top,52.12%,1.91%,0.12%,3.84,3.43,4.94,9.28,4,17541,30808,11062,148.2,0.78,1.23,9877,21,6
88,Master Yi,Jungle,51.06%,3.99%,1.93%,5.25,7.7,6.48,4.71,9,15748,27450,11132,37.4,8.67,82.39,11366,13,4
89,Miss Fortune,ADC,49.92%,3.40%,0.09%,5.53,6.87,6.05,7.99,8,20134,17826,2177,177.8,2.07,7.4,12053,13,2
90,Miss Fortune,Support,45.69%,0.54%,0.09%,5.57,3.24,4.51,5.48,4,10862,10715,936,82.5,0.4,0.99,7235,47,1
91,Mordekaiser,Top,48.71%,3.80%,1.15%,4.99,6.03,5.99,4.91,7,20144,27140,7750,164.3,2.17,3.47,11248,7,0
92,Morgana,Support,49.16%,4.84%,3.35%,5.11,2.53,5.56,12.05,5,10779,15053,3063,28.1,0.33,0.44,7925,3,0
93,Nami,Support,50.03%,3.96%,0.04%,7.74,1.71,5.26,14.04,4,7600,12798,10832,15.1,0.06,0.07,7469,23,10
94,Nasus,Top,50.28%,2.26%,0.39%,3.73,5.15,5.32,5.48,7,18081,33104,1757,170.9,2.2,3.92,11434,8,3
95,Nautilus,Support,50.18%,6.18%,2.23%,5.97,2.18,5.83,11.44,4,8149,16717,1482,33.7,0.07,0.11,7403,11,9
96,Neeko,Middle,51.95%,0.88%,0.04%,NaN,6.14,6.03,7.93,6,19743,18617,2256,154.1,1.41,3.93,10928,37,0
97,Neeko,Support,47.29%,0.57%,0.04%,NaN,3.38,5.54,7.58,4,12001,13493,1236,50.4,0.46,0.82,7692,41,7
98,Nidalee,Jungle,47.78%,3.15%,0.23%,3.95,6.4,5.36,6.71,7,14934,25561,14643,28,12.25,84.69,10464,27,1
99,Nocturne,Jungle,50.84%,3.25%,0.43%,4.51,7.12,5.87,6.51,7,14942,27440,11668,37.6,8.14,85.98,11325,18,4
100,Nocturne,Middle,54.57%,0.81%,0.43%,14.63,8.19,6.21,6.25,6,18607,23998,5171,168.6,4.38,9.13,12269,11,9
101,Nunu & Willump,Jungle,52.21%,4.32%,1.21%,3.35,4.3,5.24,10.86,6,11256,33239,17012,35.5,6.52,70.34,9896,11,10
102,Nunu & Willump,Middle,48.61%,1.34%,1.21%,3.94,7.03,6.86,10.48,6,17917,30886,12619,128.2,1.53,3.85,10715,40,0
103,Olaf,Jungle,51.31%,2.60%,0.63%,3.72,6.76,5.48,6.41,9,15475,29390,10906,35.7,9.6,79.5,10977,15,2
104,Orianna,Middle,50.71%,3.26%,0.11%,5.75,5.66,5.35,9.27,7,19770,16864,1797,175.4,2.01,8.14,11389,15,3
105,Ornn,Top,48.87%,2.30%,0.19%,1.44,3.75,5.02,8.33,6,16531,26522,3238,158.1,0.76,1.56,10148,32,1
106,Pantheon,Jungle,52.74%,0.48%,0.59%,7.46,6.53,6.15,8.06,6,14119,25366,7337,44.9,5.24,55.56,10470,34,13
107,Pantheon,Middle,48.19%,1.13%,0.59%,10.25,7.71,6.34,7.33,10,18324,22995,4396,140.5,1.43,3.8,11173,38,2
108,Pantheon,Support,52.27%,1.48%,0.59%,14.77,4.37,5.77,7.91,5,10818,16356,1799,51.5,0.5,0.6,7906,26,1
109,Poppy,Jungle,50.19%,0.48%,0.08%,6.15,5.3,5.02,8.16,5,13901,24580,5993,50.3,7.44,62.38,10158,37,3
110,Poppy,Top,48.66%,1.05%,0.08%,3.86,4.69,5.19,7.17,5,17963,25056,3894,151.9,1.48,2.13,10427,40,0
111,Pyke,Support,48.92%,5.11%,1.27%,NaN,6.28,6.54,7.87,7,9396,18033,4295,37.7,0.2,0.18,10231,6,2
112,Qiyana,Middle,45.55%,1.16%,0.09%,NaN,8.64,6.86,6.32,8,20304,21579,4064,149.3,2,3.59,11477,39,4
