Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
117,Soraka,Support,52.10%,4.67%,0.38%,4.02,1,5.39,13.34,2,6025,12432,19396,17.1,0.06,0.1,7238,6,5
118,Swain,Support,49.11%,2.19%,0.21%,12.87,4.48,6.34,10.71,5,17319,24257,6944,36.3,0.44,0.74,8787,22,17
119,Sylas,Jungle,46.13%,1.53%,1.31%,NaN,6.91,6.34,7.08,9,17214,34887,15157,38.1,6.65,70.52,10624,26,2
120,Sylas,Middle,46.89%,2.53%,1.31%,NaN,7.61,6.88,6.75,8,20563,30679,9114,134.4,1.7,4.78,11021,28,3
121,Sylas,Top,45.86%,0.87%,1.31%,NaN,6.39,6.73,6.24,6,19543,30639,9430,136.7,1.35,3.3,10509,38,3
122,Syndra,Middle,48.79%,3.86%,0.79%,3.11,7.09,6,6.61,9,22304,18077,2724,172.5,1.52,5.59,11618,11,4
123,Talon,Middle,48.48%,1.90%,0.44%,3.63,9.15,6.91,6.27,8,21546,25573,5203,155,4.58,7.03,12334,19,2
124,Taric,Support,49.02%,1.75%,0.07%,3.26,1.61,5.5,13.16,3,5550,18163,9525,32.7,0.13,0.22,7439,30,7
125,Teemo,Top,53.53%,2.82%,0.70%,3.99,5.64,6.14,5.61,7,25283,21064,3828,167.8,3.05,4.03,11576,7,3
126,Thresh,Support,48.60%,10.58%,0.88%,5.62,2.1,5.9,12.88,4,7561,17615,1979,32.9,0.07,0.07,7625,18,1
127,Tristana,ADC,49.34%,3.91%,0.15%,2.95,7.96,5.96,6.52,8,19311,19189,2831,164.5,2.39,7.48,12279,14,1
128,Trundle,Jungle,51.75%,3.29%,0.18%,3.64,4.93,4.67,8.85,6,11937,33147,16496,35.2,7.72,73.4,10476,17,0
129,Tryndamere,Top,48.45%,2.30%,0.71%,3.66,6.14,5.95,4.19,6,18513,32313,9107,189.4,7.64,8.36,12749,9,3
130,Twisted Fate,Middle,48.01%,2.58%,0.05%,3.29,5.48,6.01,8.52,7,18447,21926,4311,160.8,1.46,5.17,11730,27,4
131,Twitch,ADC,51.70%,1.97%,0.09%,3.66,8.71,6.34,7.43,9,22203,20557,2855,158.4,2.59,8.66,12338,6,2
