Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
123,Sett,Jungle,52.13%,1.68%,1.92%,NaN,5.46,5.84,7.58,6,16653,32013,7660,65.5,6.02,55.08,10723,14,0
124,Sett,Support,49.30%,1.92%,1.92%,NaN,3.49,5.8,7.84,5,11110,21251,1740,52.7,0.43,0.72,7806,30,0
125,Sett,Top,48.33%,3.65%,1.92%,NaN,5.66,6.11,5.73,8,20048,30197,3731,153.2,2.14,2.83,11203,14,0
126,Shaco,Jungle,50.70%,3.06%,0.94%,3.2,7.43,5.6,7.46,7,15624,23790,6965,33.3,8.8,68.39,10939,15,0
127,Shaco,Support,49.41%,0.64%,0.94%,8.86,4.25,5.36,9.03,5,16475,16044,1682,31.1,0.66,0.61,8486,24,0
128,Shen,Support,49.17%,0.81%,0.10%,4.21,2.91,4.75,9.68,4,8693,18008,1865,56.5,0.42,0.67,7662,35,0
129,Shen,Top,51.85%,2.60%,0.10%,2.71,4.72,4.84,9.87,6,16130,25752,3382,143.1,1.33,2.24,10491,18,0
130,Shyvana,Jungle,52.77%,2.95%,0.23%,2.45,6.17,5.03,6.73,6,18179,29626,11016,45.5,9.51,88.75,11266,5,0
131,Singed,Top,53.54%,0.96%,0.04%,2.43,4.71,6.41,7.38,6,20737,30550,5486,178.8,1.93,1.87,11304,15,0
132,Sion,Top,54.38%,1.09%,0.01%,2.79,4.85,5.75,7.9,6,19988,33687,3458,170.1,1.64,2.19,11242,6,0
133,Sivir,ADC,50.41%,2.35%,0.05%,1.93,6.11,5.55,8.61,7,20063,17809,2620,190.4,2.5,7.76,12230,10,0
134,Sona,Support,52.50%,2.29%,0.02%,3.76,2.48,5.71,13.17,5,10641,14501,10530,16.4,0.15,0.24,7898,11,0
135,Soraka,Support,51.54%,4.58%,0.29%,3.12,1.01,5.31,13.06,3,6180,12444,18911,16.8,0.08,0.09,7221,12,0
136,Swain,Support,50.16%,2.33%,0.24%,7.65,4.55,6.09,10.45,5,17215,23949,7036,38,0.43,0.76,8856,15,0
137,Sylas,Jungle,46.61%,1.89%,1.61%,NaN,6.82,6.34,7.06,8,16798,34498,14938,36.3,6.69,70.9,10589,21,0
138,Sylas,Middle,47.99%,3.09%,1.61%,NaN,7.76,6.65,6.74,7,20577,30175,9120,131.8,1.74,5.22,11000,28,0
139,Sylas,Top,43.78%,1.00%,1.61%,NaN,6.35,6.73,6.11,7,19669,30434,9107,138.6,1.67,3.36,10650,41,0
140,Syndra,Middle,50.45%,4.01%,0.67%,2.44,7.41,5.82,6.79,8,23114,18112,2937,171.1,1.68,6.06,11788,3,0
141,Tahm Kench,Support,43.23%,0.52%,0.04%,2.68,2.39,5.61,9.62,5,8805,22585,5149,40.9,0.25,0.4,7622,38,0
142,Talon,Middle,49.91%,2.43%,0.54%,2.9,8.69,6.61,6.19,8,20638,25153,5482,154.8,4.26,7.02,12147,14,0
143,Taric,Support,51.50%,1.51%,0.05%,2.77,1.57,5.3,13.11,4,5405,17877,9178,32.6,0.13,0.2,7432,25,0
144,Teemo,Jungle,45.49%,0.67%,1.11%,6.83,5.41,6.46,6.01,7,22105,21895,5645,94,7.31,40.89,10949,41,0
145,Teemo,Support,48.48%,0.61%,1.11%,6.28,3.43,5.3,5.12,5,14210,13318,1526,66.9,1.19,1.27,7608,37,0
146,Teemo,Top,51.58%,3.30%,1.11%,3.3,5.67,6.07,5.7,7,25316,20931,3778,165,2.88,3.86,11531,9,0
147,Thresh,Support,48.07%,10.25%,0.81%,3.96,2.15,5.86,12.8,4,7650,17743,1986,33.4,0.08,0.1,7696,20,0
148,Tristana,ADC,50.04%,4.17%,0.20%,2.46,8.12,5.89,6.6,8,19071,19163,2942,161.3,2.46,7.16,12284,9,0
149,Trundle,Jungle,52.42%,3.44%,0.19%,3.08,4.85,4.67,8.66,6,11818,32759,16257,35.2,7.56,71.21,10401,18,0
150,Trundle,Top,47.17%,0.51%,0.19%,2.47,5.06,5.65,5.93,5,17389,32688,11115,164.8,3.23,4.36,11722,34,0
151,Tryndamere,Jungle,52.22%,0.70%,0.65%,3.76,6.37,5.75,4.77,7,17087,33487,11561,120.4,11.89,43.79,12244,10,0
152,Tryndamere,Top,49.22%,2.21%,0.65%,2.98,6.19,6.03,4.35,10,18392,32217,8622,182,7.14,8.3,12621,12,0
153,Twisted Fate,Middle,50.82%,2.42%,0.05%,2.38,5.28,5.68,8.38,6,17921,21328,4240,159.7,1.49,5.49,11653,30,0
154,Twitch,ADC,52.19%,1.87%,0.08%,2.87,8.59,6.26,7.68,8,21663,20115,2902,154.9,2.65,8.63,12294,3,0
155,Twitch,Jungle,42.71%,0.65%,0.08%,3.5,7.66,6.84,6.61,8,16835,22743,6588,43.3,6.14,68.31,10946,43,0
156,Udyr,Jungle,53.31%,1.63%,0.07%,2.12,5.79,5.52,6.02,7,11962,27797,10288,36.3,11.79,78.3,10922,26,0
157,Urgot,Top,51.62%,2.84%,0.48%,2.04,6.97,5.73,5.29,7,20363,24957,4540,170.5,2.52,3.37,12071,7,0
158,Varus,ADC,50.63%,5.47%,1.40%,2.76,6.72,5.79,8.3,8,21441,16301,2549,173.8,1.63,5.82,11886,6,0
159,Vayne,ADC,50.75%,7.54%,1.44%,3.76,7.47,6.1,6.09,8,18698,20075,3694,161.4,1.97,6.96,11895,11,0
160,Veigar,Middle,49.95%,2.79%,0.32%,2.71,7.47,6.07,6.86,8,21219,17774,1899,161.3,1.34,4.58,11672,16,0
161,Veigar,Support,52.66%,0.89%,0.32%,4.08,4.44,6.04,7.45,7,12935,13751,1185,57.5,0.67,1.19,8399,23,0
162,Vel'Koz,Middle,52.72%,1.55%,0.15%,3.97,6.86,5.51,7.89,8,25613,16421,1495,162.2,1.28,3.77,11450,6,0
163,Vel'Koz,Support,52.16%,1.74%,0.15%,4.6,4.42,5.99,8.94,6,19562,14065,1193,45.5,0.64,1.16,8964,14,0
164,Vi,Jungle,52.44%,3.23%,0.08%,2.78,6.12,6.01,7.35,7,13795,23701,6867,33.1,7.65,79.12,10860,27,0
165,Viktor,Middle,50.16%,1.03%,0.03%,2.59,6.62,5.57,6.87,6,24158,16885,2146,175,1.79,6.38,11667,21,0
166,Vladimir,Middle,49.69%,2.29%,0.92%,2.83,6.65,5.53,6.31,7,22536,28636,22584,175.4,1.86,3.7,11517,15,0
167,Vladimir,Top,47.38%,1.37%,0.92%,2.81,4.98,5.72,5.79,6,20671,28015,21545,177.3,1.56,3.2,11065,27,0
168,Volibear,Jungle,51.27%,1.70%,0.14%,3.09,5.88,5.53,8.52,6,14237,31161,7720,43.5,6.73,69.49,10830,22,0
169,Volibear,Top,50.44%,0.95%,0.14%,3.38,6.61,5.46,6.35,9,18267,30155,3277,149.4,2.15,2.94,11493,19,0
170,Warwick,Jungle,51.62%,5.16%,0.60%,2.67,6.53,6.09,7.53,7,12846,33881,16500,33.5,7.62,72.2,10805,12,0
171,Wukong,Jungle,50.89%,2.23%,0.92%,3.39,6.15,5.35,7.36,7,13707,26070,8319,43,6.83,71.14,10823,25,0
172,Wukong,Top,50.61%,1.38%,0.92%,3.53,6.3,5.54,6.01,6,17719,24764,4360,155,2.45,3.5,11456,22,0
173,Xayah,ADC,48.94%,2.69%,0.07%,2.4,6.82,5.99,7.31,10,19782,18357,2711,175,2.34,7.95,12162,17,0
174,Xerath,Middle,49.73%,1.55%,0.22%,2.75,6.75,5.02,8.59,8,25646,15294,1331,162.2,1.11,4.88,11433,7,0
175,Xerath,Support,50.29%,1.86%,0.22%,4.71,4.38,5.58,9.42,6,19207,13103,1050,45.5,0.53,1.34,8850,18,0
176,Xin Zhao,Jungle,49.31%,2.19%,0.05%,2.93,5.79,6.04,6.99,8,14198,30320,15196,31,8.46,70.29,10321,37,0
177,Yasuo,ADC,51.87%,1.56%,5.27%,9.34,7.78,6.79,6.68,7,18949,22267,4681,180,4.09,7.82,12593,2,0
