SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SPRING,S8,Thresh Thresh,213,153,17%,7.6,101,112,47%,3.3,34:24:00,1.2,134,-1.4
SPRING,S8,Karma Karma,179,179,17%,5.8,86,93,48%,4.6,34:15:00,6.6,358,-4.5
SPRING,S8,Corki Corki,233,112,16%,6.9,100,133,43%,3.4,35:35:00,10.4,648,4.5
SPRING,S8,Orianna Orianna,197,132,15%,7.5,100,97,51%,4.6,36:12:00,9.5,521,3.8
SPRING,S8,Jax Jax,179,114,14%,7.7,76,103,42%,2.5,35:09:00,6,181,4.6
SPRING,S8,Jayce Jayce,80,190,13%,6.7,45,35,56%,2.6,33:53:00,9.3,548,14.2
SPRING,S8,Fiora Fiora,108,161,13%,7.8,43,65,40%,2,33:46:00,9.5,424,1.1
SPRING,S8,Kaisa Kaisa,102,142,11%,4.3,52,50,51%,4.6,34:05:00,10.2,590,-3.9
SPRING,S8,Jhin Jhin,137,76,10%,6.5,66,71,48%,5.2,33:23:00,9.6,551,-0.6
SPRING,S8,Anivia Anivia,76,93,8%,5.1,42,34,55%,5.7,35:29:00,9.5,480,-0.8
SPRING,S8,Kassadin Kassadin,85,77,8%,8.1,35,50,41%,4,34:10:00,9.2,499,-5.4
SPRING,S8,Syndra Syndra,101,52,7%,7.5,39,62,39%,3,36:22:00,9.6,532,1.8
SPRING,S8,Nidalee Nidalee,70,82,7%,6.4,39,31,56%,3.8,34:17:00,6.2,352,17.8
SPRING,S8,Maokai Maokai,125,22,7%,8.8,56,69,45%,2.4,35:08:00,7.3,351,-7.5
SPRING,S8,Lee Sin Lee Sin,101,45,7%,6.5,44,57,44%,2.8,33:14:00,4.8,202,-4.8
SPRING,S8,Sivir Sivir,89,45,6%,7.9,37,52,42%,4,37:26:00,10.9,600,-3.1
SPRING,S8,Leona Leona,96,36,6%,7.9,50,46,52%,2.7,34:58:00,2,123,10.1
SPRING,S8,Rengar Rengar,50,52,5%,7.7,22,28,44%,2.4,38:35:00,5.9,236,7.1
SPRING,S8,LeBlanc LeBlanc,41,60,5%,7.6,21,20,51%,3.6,35:36:00,8.1,515,-3.1
SPRING,S8,Jinx Jinx,65,36,5%,7.3,35,30,54%,5,34:05:00,10.7,655,0.4
SPRING,S8,RekSai RekSai,69,28,5%,7.3,34,35,49%,2.9,34:25:00,5.2,223,3
SPRING,S8,Urgot Urgot,51,46,5%,6.7,23,28,45%,2.8,33:17:00,8.7,424,9.1
SPRING,S8,Nunu Nunu,38,55,4%,4.7,17,21,45%,2.6,36:33:00,4.9,102,8.8
SPRING,S8,Veigar Veigar,51,41,4%,6.5,26,25,51%,4.1,34:09:00,9,464,-14.2
SPRING,S8,Illaoi Illaoi,33,56,4%,8.2,15,18,45%,1.2,35:50:00,9,535,12.3
SPRING,S8,Lulu Lulu,60,24,4%,8.9,29,31,48%,4.4,33:57:00,1.5,153,-14
SPRING,S8,Gragas Gragas,73,11,4%,9.1,34,39,47%,2.8,35:08:00,4.5,199,-6.2
SPRING,S8,Poppy Poppy,51,26,4%,7.7,24,27,47%,2.8,33:28:00,7.3,336,-5.2
SPRING,S8,Ashe Ashe,51,10,3%,8.8,27,24,53%,4.4,33:28:00,9.5,556,-4.2
SPRING,S8,VelKoz VelKoz,33,27,3%,4.5,19,14,58%,4,38:20:00,8.4,615,0.6
SPRING,S8,Zilean Zilean,42,18,3%,7.5,20,22,48%,3.8,36:30:00,2.8,273,-11.5
SPRING,S8,Evelynn Evelynn,15,44,3%,3.5,9,6,60%,3.1,38:53:00,4.8,329,-1.2
SPRING,S8,Vayne Vayne,41,16,3%,6.7,19,22,46%,3.4,35:08:00,10.1,553,-1.1
SPRING,S8,Viktor Viktor,41,14,3%,6.9,12,29,29%,2.7,34:15:00,9.3,545,-2.7
SPRING,S8,Graves Graves,30,24,3%,3.4,14,16,47%,2.9,31:06:00,6.5,377,17.9
SPRING,S8,Riven Riven,25,25,2%,5.6,14,11,56%,2.8,33:39:00,9.4,382,5.9
SPRING,S8,Bard Bard,32,16,2%,7.1,15,17,47%,2.7,34:06:00,1.1,244,-21.7
SPRING,S8,Lucian Lucian,34,13,2%,6.5,11,23,32%,2.1,33:11:00,9.6,587,16.1
SPRING,S8,Shyvana Shyvana,26,18,2%,8.2,5,21,19%,1.9,35:44:00,6.3,240,21.6
SPRING,S8,Ekko Ekko,28,14,2%,6.1,14,14,50%,3.8,34:43:00,9.5,452,-6.2
SPRING,S8,Ivern Ivern,21,19,2%,5.5,11,10,52%,4.5,39:16:00,4.2,164,-7.2
SPRING,S8,Rumble Rumble,26,13,2%,7.2,9,17,35%,2.2,36:44:00,8.1,452,-6.2
SPRING,S8,Aurelion Sol Aurelion Sol,19,19,2%,6.7,9,10,47%,4.6,36:30:00,8.7,554,-10.1
SPRING,S8,Kled Kled,23,14,2%,6.1,11,12,48%,3.8,33:25:00,8.5,370,-5.9
SPRING,S8,Yasuo Yasuo,19,17,2%,4.1,10,9,53%,2.2,30:12:00,9.3,341,12.4
SPRING,S8,Ziggs Ziggs,25,10,2%,7.3,13,12,52%,3.6,36:12:00,9.4,727,-0.3
SPRING,S8,Xerath Xerath,20,13,2%,6.8,7,13,35%,3.5,34:58:00,9.2,758,-4.2
SPRING,S8,Nocturne Nocturne,21,10,1%,7.4,9,12,43%,2.1,34:26:00,5.4,308,-0.4
SPRING,S8,Kennen Kennen,15,14,1%,5.9,6,9,40%,2.5,34:00:00,6.7,327,-10
SPRING,S8,Xin Zhao Xin Zhao,22,7,1%,8.3,12,10,55%,2.3,34:36:00,5.2,243,6.1
SPRING,S8,Twitch Twitch,21,6,1%,8,11,10,52%,5.3,35:08:00,9.2,582,-8.2
SPRING,S8,Nami Nami,24,2,1%,7,15,9,63%,4.9,34:08:00,0.6,180,-15.6
SPRING,S8,Singed Singed,11,13,1%,9.3,8,3,73%,4.7,34:42:00,8.6,331,-3.7
SPRING,S8,Kindred Kindred,16,6,1%,6.2,7,9,44%,2.3,35:23:00,5.5,362,0.6
SPRING,S8,Irelia Irelia,9,12,1%,6.9,5,4,56%,2.3,32:17:00,8.4,385,6.3
SPRING,S8,Malphite Malphite,13,8,1%,8,8,5,62%,3.4,32:42:00,8.5,391,4.2
SPRING,S8,Renekton Renekton,15,5,1%,8.8,4,11,27%,2,35:10:00,8.8,368,13.3
SPRING,S8,Draven Draven,12,6,1%,5.2,8,4,67%,5.4,38:04:00,9.8,649,-7.9
SPRING,S8,Warwick Warwick,14,3,1%,6.3,7,7,50%,2.3,35:54:00,4.8,196,7.9
SPRING,S8,Twisted Fate Twisted Fate,13,3,1%,7,8,5,62%,5.4,33:49:00,8.9,448,-12.2
SPRING,S8,Blitzcrank Blitzcrank,13,3,1%,6,4,9,31%,1.8,34:34:00,1.4,138,-6.5
SPRING,S8,Soraka Soraka,11,4,1%,7.5,6,5,55%,4,34:39:00,0.8,175,-9
SPRING,S8,Elise Elise,11,4,1%,9,4,7,36%,2.2,30:20:00,4.6,335,-5.2
SPRING,S8,Yorick Yorick,4,10,1%,7.6,1,3,25%,2.7,33:13:00,9.7,482,10.3
SPRING,S8,Zyra Zyra,9,3,1%,9.3,5,4,56%,2.3,33:13:00,1.2,407,-6.3
SPRING,S8,Fizz Fizz,6,5,1%,6.6,2,4,33%,1.9,32:04:00,8,341,-7.8
SPRING,S8,Kayn Kayn,8,3,1%,8.7,5,3,63%,5.5,30:46:00,5.8,336,14.6
SPRING,S8,Miss Fortune Miss Fortune,6,4,0%,7.3,3,3,50%,4.8,31:06:00,9.2,442,-5
SPRING,S8,Darius Darius,6,4,0%,9,2,4,33%,2.4,34:56:00,8,350,21.2
SPRING,S8,Volibear Volibear,6,3,0%,4,3,3,50%,2.2,34:30:00,5.7,247,-1
SPRING,S8,Nasus Nasus,8,1,0%,10,3,5,38%,1.7,31:32:00,9.2,502,4.6
SPRING,S8,Katarina Katarina,0,8,0%,3.9,,,,,0:00,,,
SPRING,S8,Heimerdinger Heimerdinger,2,6,0%,6.8,2,0,100%,12,28:58:00,9.7,633,20.5
SPRING,S8,Brand Brand,5,1,0%,10,3,2,60%,3.6,32:03:00,1.1,577,-11.6
SPRING,S8,Aatrox Aatrox,3,3,0%,7,1,2,33%,0.7,33:23:00,8.5,362,-5
SPRING,S8,Fiddlesticks Fiddlesticks,5,0,0%,-,3,2,60%,3.6,36:10:00,8.3,555,-6.8
SPRING,S8,Karthus Karthus,3,2,0%,9,2,1,67%,3.5,35:58:00,9.9,802,10
SPRING,S8,Ahri Ahri,4,1,0%,6,1,3,25%,2.7,30:24:00,9.2,558,-9
SPRING,S8,Talon Talon,3,1,0%,10,1,2,33%,2.1,26:29:00,7.5,436,-21.3
SPRING,S8,Teemo Teemo,3,1,0%,9,2,1,67%,2.6,30:59:00,9.8,735,19.7
SPRING,S8,Zed Zed,3,0,0%,-,3,0,100%,8,24:14:00,8.1,682,22.7
SPRING,S8,Rammus Rammus,2,0,0%,-,2,0,100%,2.9,32:55:00,5.2,647,3
SPRING,S8,Sona Sona,1,1,0%,8,1,0,100%,11,28:25:00,0.8,351,-23
SPRING,S8,Hecarim Hecarim,2,0,0%,-,1,1,50%,3.1,34:31:00,5.4,285,-4
SPRING,S8,Akali Akali,1,0,0%,-,1,0,100%,8,24:46:00,7.6,264,15
SPRING,S8,Mordekaiser Mordekaiser,1,0,0%,-,0,1,0%,0.2,22:32,4,121,-43
SPRING,S8,Pantheon Pantheon,1,0,0%,-,0,1,0%,2,37:04:00,7.5,457,-16
SPRING,S8,Dr. Mundo Dr. Mundo,1,0,0%,-,0,1,0%,3,32:15:00,6.9,594,-14
SPRING,S8,Lux Lux,1,0,0%,-,1,0,100%,17,25:10:00,8.2,652,101
SPRING,S8,Vi Vi,0,1,0%,3,,,,,0:00,,,
SPRING,S8,Lissandra Lissandra,1,0,0%,-,1,0,100%,-,25:28:00,8.3,443,16
SPRING,S8,Garen Garen,0,1,0%,6,,,,,0:00,,,
SPRING,S8,Shaco Shaco,0,1,0%,2,,,,,0:00,,,
SPRING,S8,Amumu Amumu,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Aphelios Aphelios,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Wukong Wukong,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Diana Diana,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Lilia Lilia,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Neeko Neeko,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Master Yi Master Yi,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Yuumi Yuumi,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Quinn Quinn,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Senna Senna,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Udyr Udyr,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Annie Annie,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Sett Sett,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Pyke Pyke,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Kayle Kayle,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Sylas Sylas,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Nautilus Nautilus,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Qiyana Qiyana,0,0,0%,-,,,,,0:00,,,
SPRING,S8,Tryndamere Tryndamere,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Aatrox Aatrox,411,1541,82%,3.5,233,178,57%,3,32:15:00,9.1,438,3.5
SUMMER,S8,Taliyah Taliyah,455,1221,70%,4.2,235,220,52%,3.1,33:30:00,6.7,454,1.7
SUMMER,S8,Rakan Rakan,651,999,69%,4.3,351,300,54%,3.7,33:27:00,0.6,165,-19.8
SUMMER,S8,Zoe Zoe,527,965,62%,4.4,283,244,54%,4.2,34:12:00,8.5,584,4.2
SUMMER,S8,Camille Camille,542,921,61%,4.6,279,263,51%,2.5,32:55:00,6.5,315,-5.1
SUMMER,S8,Nocturne Nocturne,383,1008,58%,4.3,210,173,55%,2.7,33:20:00,5.5,273,1.7
SUMMER,S8,Tahm Kench Tahm Kench,745,530,53%,4.7,402,343,54%,2.9,34:15:00,2,126,7.7
SUMMER,S8,Morgana Morgana,510,747,53%,5.2,235,275,46%,3.2,33:50:00,2,301,-11.4
SUMMER,S8,Trundle Trundle,815,439,52%,5.9,409,406,50%,3.6,33:51:00,4.8,171,-2.9
SUMMER,S8,Alistar Alistar,736,504,52%,6.4,365,371,50%,2.8,33:10:00,1.7,134,2
SUMMER,S8,Ryze Ryze,657,530,50%,5.6,338,319,51%,3.1,33:20:00,9.6,448,3.7
SUMMER,S8,Braum Braum,756,394,48%,5.6,391,365,52%,3.4,33:41:00,2,146,-1.6
SUMMER,S8,Swain Swain,563,550,47%,4.5,287,276,51%,3.7,33:33:00,8.3,473,-2.8
SUMMER,S8,Kindred Kindred,460,626,45%,4.4,230,230,50%,3.2,33:34:00,5.9,367,1.7
SUMMER,S8,Varus Varus,629,456,45%,5.8,299,330,48%,3.5,34:17:00,9.6,527,5.8
SUMMER,S8,Irelia Irelia,421,621,44%,4.8,219,202,52%,2.9,31:52:00,9.1,380,10
SUMMER,S8,Gragas Gragas,712,298,42%,6.1,349,363,49%,3.1,34:23:00,4.8,286,-6.1
SUMMER,S8,Kaisa Kaisa,692,313,42%,5.9,364,328,53%,4.2,32:23:00,10,513,4.3
SUMMER,S8,Dr. Mundo Dr. Mundo,583,402,41%,7.9,288,295,49%,3.1,33:15:00,8.4,411,-1.5
SUMMER,S8,Shen Shen,573,395,41%,5.4,273,300,48%,3.4,33:14:00,3,133,4.2
SUMMER,S8,Ezreal Ezreal,668,258,39%,7,309,359,46%,4.3,34:14:00,9.6,656,-0.8
SUMMER,S8,Yasuo Yasuo,328,586,38%,5.4,152,176,46%,2.7,32:41:00,9.1,351,3
SUMMER,S8,Ornn Ornn,522,360,37%,7.6,264,258,51%,3.5,32:50:00,7.4,343,-4.1
SUMMER,S8,Lucian Lucian,401,388,33%,6,196,205,49%,3.6,32:53:00,9.6,462,9.5
SUMMER,S8,Vladimir Vladimir,382,348,31%,5.3,174,208,46%,3.3,32:53:00,8.8,456,-3.3
SUMMER,S8,Sejuani Sejuani,470,217,29%,7.1,224,246,48%,3.6,34:03:00,4.6,196,-9.4
SUMMER,S8,Gnar Gnar,383,267,27%,7.9,195,188,51%,2.7,34:54:00,9,446,5.2
SUMMER,S8,LeBlanc LeBlanc,215,434,27%,6.9,116,99,54%,3.9,33:56:00,8.3,520,1.7
SUMMER,S8,Gangplank Gangplank,305,337,27%,7.1,154,151,50%,3.8,35:32:00,9.1,582,-6.8
SUMMER,S8,Akali Akali,117,511,26%,3.9,55,62,47%,3.1,34:14:00,8.5,421,-0.6
SUMMER,S8,Orianna Orianna,415,212,26%,7.4,189,226,46%,4,34:29:00,9.3,481,5.3
SUMMER,S8,Xayah Xayah,437,176,26%,6.7,237,200,54%,4.2,33:45:00,10.2,530,8.4
SUMMER,S8,Graves Graves,324,286,26%,5.1,160,164,49%,3.4,32:57:00,7,388,11.1
SUMMER,S8,Galio Galio,296,288,24%,6.4,147,149,50%,3.5,33:27:00,8.4,405,-7.8
SUMMER,S8,Darius Darius,211,371,24%,7.9,99,112,47%,2.2,33:07:00,8.5,344,7
SUMMER,S8,Pyke Pyke,283,211,21%,6.6,139,144,49%,3.2,33:10:00,1.8,164,0.2
SUMMER,S8,Kennen Kennen,210,232,18%,8,95,115,45%,2.4,33:48:00,8.7,457,1.5
SUMMER,S8,Chogath Chogath,333,108,18%,8.5,148,185,44%,2.4,34:49:00,7.7,323,-4.4
SUMMER,S8,Jayce Jayce,181,243,18%,6.6,98,83,54%,2.9,32:50:00,9.1,550,13.1
SUMMER,S8,Lulu Lulu,211,205,17%,5.7,99,112,47%,4.6,32:43:00,7,313,-2.7
SUMMER,S8,Olaf Olaf,204,210,17%,5.8,112,92,55%,3.7,33:45:00,5.3,283,4.5
SUMMER,S8,Ashe Ashe,259,130,16%,7.5,133,126,51%,3.7,33:46:00,9.7,518,-0.9
SUMMER,S8,Xin Zhao Xin Zhao,224,160,16%,6.4,100,124,45%,2.5,32:33:00,5.1,255,-8.8
SUMMER,S8,Skarner Skarner,210,159,15%,6.6,115,95,55%,3.8,34:14:00,4.7,151,-3
SUMMER,S8,Urgot Urgot,148,203,15%,4.8,72,76,49%,3.1,33:43:00,8.4,399,5.4
SUMMER,S8,Syndra Syndra,177,147,14%,8,85,92,48%,3.4,34:38:00,9.3,494,9.2
SUMMER,S8,Fiddlesticks Fiddlesticks,153,150,13%,6.9,72,81,47%,2.4,32:33:00,0.8,273,-9.2
SUMMER,S8,Poppy Poppy,201,99,13%,7.1,101,100,50%,2.9,34:46:00,7.1,330,-4.6
SUMMER,S8,Jhin Jhin,202,81,12%,8.1,94,108,47%,4.7,34:59:00,9.4,528,1.2
SUMMER,S8,Cassiopeia Cassiopeia,145,133,12%,7.3,75,70,52%,3.5,33:00:00,9.2,498,4
SUMMER,S8,Heimerdinger Heimerdinger,84,171,11%,4.1,37,47,44%,2.8,34:11:00,8.4,631,-0.2
SUMMER,S8,Azir Azir,141,100,10%,7.2,65,76,46%,3,34:18:00,9.6,481,-0.1
SUMMER,S8,Talon Talon,79,158,10%,5.6,48,31,61%,3.4,34:26:00,10.1,451,16.3
SUMMER,S8,Kled Kled,114,110,9%,5.2,54,60,47%,4,34:20:00,8.5,372,-1.4
SUMMER,S8,Sion Sion,154,60,9%,5.7,73,81,47%,3.3,32:57:00,7.5,346,-3.9
SUMMER,S8,Rumble Rumble,121,89,9%,7.2,67,54,55%,3.5,34:25:00,8,531,6.8
SUMMER,S8,Draven Draven,63,136,8%,3.8,38,25,60%,3.6,31:09:00,9.2,508,15
SUMMER,S8,Singed Singed,100,97,8%,7.3,58,42,58%,3.6,31:19:00,8.3,389,-3.1
SUMMER,S8,Tristana Tristana,126,62,8%,7,63,63,50%,4.1,33:49:00,10.1,505,2.2
SUMMER,S8,Zilean Zilean,79,101,8%,5.6,37,42,47%,4.8,33:36:00,4.8,361,-9.9
SUMMER,S8,Soraka Soraka,97,78,7%,7.7,48,49,49%,3.6,33:02:00,0.6,203,-15.4
SUMMER,S8,Mordekaiser Mordekaiser,76,96,7%,5.3,46,30,61%,4.4,31:21:00,7.9,365,-2.1
SUMMER,S8,Karma Karma,99,72,7%,6.1,52,47,53%,4.7,32:06:00,5.5,321,-3.1
SUMMER,S8,Fiora Fiora,63,99,7%,7.5,30,33,48%,2.2,32:51:00,9.4,445,3.4
SUMMER,S8,Malzahar Malzahar,85,77,7%,7.2,50,35,59%,3.3,33:49:00,9.2,489,-3
SUMMER,S8,Taric Taric,66,95,7%,3.9,33,33,50%,3.7,30:59:00,1.8,80,-43.4
SUMMER,S8,VelKoz VelKoz,87,73,7%,7.1,39,48,45%,4.4,36:26:00,9,668,7.4
SUMMER,S8,Jax Jax,84,65,6%,8.1,25,59,30%,1.8,31:12:00,8.6,335,-1.9
SUMMER,S8,Lee Sin Lee Sin,104,42,6%,7.7,50,54,48%,2.8,32:47:00,5.1,237,-4.4
SUMMER,S8,Thresh Thresh,94,52,6%,5.9,40,54,43%,2.9,33:17:00,0.7,145,-9.2
SUMMER,S8,Nidalee Nidalee,58,72,5%,5.1,30,28,52%,3.3,33:39:00,6.1,406,6.1
SUMMER,S8,Lissandra Lissandra,65,52,5%,7.9,33,32,51%,3.1,32:14:00,8.8,403,17.4
SUMMER,S8,Jarvan IV Jarvan IV,95,21,5%,8.2,46,49,48%,3.6,33:40:00,7.1,303,-0.1
SUMMER,S8,Zac Zac,68,43,5%,7.1,34,34,50%,4.4,33:18:00,4.4,198,-13
SUMMER,S8,Renekton Renekton,61,45,4%,8,27,34,44%,2.1,31:25:00,9.1,371,10.2
SUMMER,S8,Anivia Anivia,32,68,4%,5.8,20,12,63%,6,36:58:00,9.4,434,-0.7
SUMMER,S8,Master Yi Master Yi,27,73,4%,3.8,9,18,33%,2.7,28:55:00,10.7,462,58.5
SUMMER,S8,Leona Leona,73,23,4%,7.1,40,33,55%,2.8,33:57:00,2,123,16.1
SUMMER,S8,Aurelion Sol Aurelion Sol,39,52,4%,6.6,20,19,51%,5.2,34:03:00,9,474,-0.8
SUMMER,S8,Karthus Karthus,48,30,3%,5,18,30,38%,2.4,32:30:00,9.8,699,36.1
SUMMER,S8,KogMaw KogMaw,44,28,3%,6.5,19,25,43%,2.5,32:00:00,9.6,518,0
SUMMER,S8,Caitlyn Caitlyn,43,29,3%,7.4,22,21,51%,4.1,34:39:00,10,603,6.6
SUMMER,S8,Brand Brand,34,34,3%,5.2,15,19,44%,3,35:32:00,6.8,531,-2.6
SUMMER,S8,Ziggs Ziggs,37,28,3%,7.1,19,18,51%,3.5,35:03:00,9.3,735,4.1
SUMMER,S8,Miss Fortune Miss Fortune,41,23,3%,6.7,19,22,46%,4.1,32:51:00,9.1,573,-3.2
SUMMER,S8,Maokai Maokai,58,5,3%,8.2,35,23,60%,3.2,32:19:00,7.1,366,-8.8
SUMMER,S8,Sivir Sivir,46,17,3%,8.1,23,23,50%,4.4,33:53:00,10.5,569,-1
SUMMER,S8,Viktor Viktor,49,13,3%,6.4,23,26,47%,3.5,34:23:00,9.3,626,2.6
SUMMER,S8,Corki Corki,42,16,2%,7.3,23,19,55%,4,32:38:00,10,622,6.8
SUMMER,S8,Malphite Malphite,38,19,2%,8.3,14,24,37%,2.3,34:23:00,7.9,368,-20.3
SUMMER,S8,Kalista Kalista,28,26,2%,6.1,16,12,57%,4.1,31:09:00,9.8,422,6.2
SUMMER,S8,Fizz Fizz,22,29,2%,7.3,13,9,59%,3.6,34:38:00,8.5,429,-1.7
SUMMER,S8,Ahri Ahri,22,22,2%,4.6,13,9,59%,3.2,38:10:00,8.3,520,-9.2
SUMMER,S8,Kassadin Kassadin,24,20,2%,8.3,10,14,42%,3.2,32:50:00,9.2,514,-7.2
SUMMER,S8,Evelynn Evelynn,16,24,2%,4.1,4,12,25%,2,34:07:00,4.9,371,-8.8
SUMMER,S8,Rengar Rengar,18,22,2%,3.9,6,12,33%,1.8,31:52:00,5.9,313,7.4
SUMMER,S8,KhaZix KhaZix,16,23,2%,4.9,7,9,44%,2.5,37:21:00,5.5,386,4.1
SUMMER,S8,Nautilus Nautilus,33,5,2%,4.4,12,21,36%,2.3,32:03:00,3.4,185,5.6
SUMMER,S8,Nunu Nunu,24,12,2%,4.6,13,11,54%,3.5,31:40:00,1.7,71,-71.5
SUMMER,S8,Riven Riven,13,22,1%,4.8,6,7,46%,2.4,32:35:00,9.5,341,-2.4
SUMMER,S8,RekSai RekSai,19,15,1%,5.9,10,9,53%,3,32:52:00,5.6,244,5.6
SUMMER,S8,Quinn Quinn,19,12,1%,7.9,7,12,37%,2.3,36:13:00,9.4,512,-3.3
SUMMER,S8,Janna Janna,24,7,1%,9,10,14,42%,3.4,32:30:00,0.8,138,-26.6
SUMMER,S8,Nami Nami,24,6,1%,7.8,12,12,50%,3.5,31:55:00,0.4,156,-11.4
SUMMER,S8,Ekko Ekko,21,8,1%,8.8,9,12,43%,2.7,32:01:00,8.2,440,5.1
SUMMER,S8,Vayne Vayne,22,7,1%,8.6,13,9,59%,3.1,31:58:00,9.2,579,0.5
SUMMER,S8,Twisted Fate Twisted Fate,20,7,1%,8,10,10,50%,4.8,30:26:00,9,423,6.9
SUMMER,S8,Blitzcrank Blitzcrank,20,6,1%,8,10,10,50%,2.8,33:08:00,1.6,157,3.4
SUMMER,S8,Zed Zed,11,14,1%,8.2,4,7,36%,3,36:16:00,8.6,511,2.1
SUMMER,S8,Xerath Xerath,15,7,1%,6,10,5,67%,10.5,35:25:00,8.1,873,-5.2
SUMMER,S8,Hecarim Hecarim,15,6,1%,7.5,10,5,67%,2.5,33:27:00,6.9,345,7.3
SUMMER,S8,Elise Elise,17,4,1%,8.3,7,10,41%,2.2,31:49:00,4.9,311,-9.3
SUMMER,S8,Bard Bard,15,5,1%,7.8,6,9,40%,3.5,33:09:00,0.8,252,-14.6
SUMMER,S8,Veigar Veigar,8,10,1%,5.7,4,4,50%,4.4,33:08:00,8.1,476,3.2
SUMMER,S8,Yorick Yorick,7,7,1%,5,3,4,43%,1.3,40:38:00,9.5,481,7.4
SUMMER,S8,Kayle Kayle,7,7,1%,4.9,4,3,57%,3.2,31:07:00,12.6,435,40
SUMMER,S8,Illaoi Illaoi,6,7,1%,7.9,1,5,17%,0.7,28:13:00,8.3,532,9.7
SUMMER,S8,Zyra Zyra,11,1,1%,7,3,8,27%,1.2,30:17:00,0.9,378,-10.1
SUMMER,S8,Wukong Wukong,9,1,0%,8,6,3,67%,2.6,34:27:00,8.1,413,-18.3
SUMMER,S8,Katarina Katarina,3,3,0%,2.7,2,1,67%,3.9,28:26:00,7.7,457,-20.7
SUMMER,S8,Lux Lux,5,1,0%,9,2,3,40%,3.2,32:36:00,5.9,412,1.6
SUMMER,S8,Shyvana Shyvana,4,2,0%,7.5,2,2,50%,2.8,30:29:00,8.3,452,69.5
SUMMER,S8,Ivern Ivern,5,0,0%,-,2,3,40%,4.7,32:37:00,3.7,183,0
SUMMER,S8,Nasus Nasus,3,2,0%,8,2,1,67%,2.4,31:55:00,8.8,346,-22
SUMMER,S8,Warwick Warwick,1,4,0%,7.3,1,0,100%,7.5,25:01:00,5.3,465,8
SUMMER,S8,Jinx Jinx,4,1,0%,9,1,3,25%,2.5,35:47:00,10.8,627,-1.8
SUMMER,S8,Kayn Kayn,4,0,0%,-,1,3,25%,1.5,34:17:00,5.4,259,-79
SUMMER,S8,Twitch Twitch,3,1,0%,10,0,3,0%,1.4,32:36:00,9.7,618,-8
SUMMER,S8,Teemo Teemo,3,0,0%,-,3,0,100%,2.8,38:47:00,9.2,737,9.7
SUMMER,S8,Garen Garen,2,1,0%,1,0,2,0%,2.1,28:08:00,7.6,502,12
SUMMER,S8,Amumu Amumu,1,1,0%,3,0,1,0%,1,26:51:00,4.5,145,-45
SUMMER,S8,Udyr Udyr,1,1,0%,5,0,1,0%,4,27:32:00,4.7,120,11
SUMMER,S8,Pantheon Pantheon,1,1,0%,1,1,0,100%,4,32:47:00,5.4,96,-9
SUMMER,S8,Shaco Shaco,2,0,0%,-,2,0,100%,2.9,37:32:00,6.2,587,25.5
SUMMER,S8,Sona Sona,0,2,0%,5.5,,,,,0:00,,,
SUMMER,S8,Annie Annie,0,1,0%,5,,,,,0:00,,,
SUMMER,S8,Tryndamere Tryndamere,1,0,0%,-,1,0,100%,5,33:28:00,12.1,569,23
SUMMER,S8,Vi Vi,1,0,0%,-,0,1,0%,0.4,31:33:00,3.7,264,1
SUMMER,S8,Rammus Rammus,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Lilia Lilia,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Neeko Neeko,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Yuumi Yuumi,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Senna Senna,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Diana Diana,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Sett Sett,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Volibear Volibear,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Sylas Sylas,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Qiyana Qiyana,0,0,0%,-,,,,,0:00,,,
SUMMER,S8,Aphelios Aphelios,0,0,0%,-,,,,,0:00,,,
SPRING,S9,Lucian Lucian,667,1235,79%,4.2,343,324,51%,4.2,32:51:00,9.4,480,8.1
SPRING,S9,Lissandra Lissandra,798,814,67%,5,412,386,52%,3.4,32:41:00,8.5,429,1.4
