SPLIT,SEASON,Champion,picks,bans,presence,avg bt,wins,losses,winrate,KDA,GT,CSM,DPM,CSD-15MIN
SUMMER,S10,Sylas Sylas,143,95,15%,7.9,69,74,48%,3,32:29:00,7.6,453,-5.9
SUMMER,S10,RekSai RekSai,121,109,15%,6.4,54,67,45%,2.7,31:15:00,5.4,253,2.6
SUMMER,S10,Ekko Ekko,124,99,14%,6.4,57,67,46%,3,32:11:00,8,421,-4
SUMMER,S10,Jarvan IV Jarvan IV,108,107,14%,7.2,44,64,41%,2.9,31:09:00,4.9,183,-7.1
SUMMER,S10,Lulu Lulu,132,77,13%,6.8,55,77,42%,4.2,32:39:00,1.7,104,0.7
SUMMER,S10,Kennen Kennen,114,89,13%,7.7,61,53,54%,2.5,33:52:00,7.9,475,6.7
SUMMER,S10,Pantheon Pantheon,82,100,12%,4.7,41,41,50%,2.4,31:27:00,3.4,275,-2.4
SUMMER,S10,Kassadin Kassadin,65,115,11%,7.9,31,34,48%,4.5,30:13:00,8.9,530,-5.1
SUMMER,S10,Malphite Malphite,89,91,11%,8.5,41,48,46%,3,33:14:00,7,392,-6.1
SUMMER,S10,Kaisa Kaisa,138,28,11%,8.4,49,89,36%,3.2,31:37:00,9.3,474,-0.3
SUMMER,S10,Cassiopeia Cassiopeia,79,87,11%,6.2,40,39,51%,3.5,32:51:00,8.9,483,6.7
SUMMER,S10,Miss Fortune Miss Fortune,110,37,9%,6.8,45,65,41%,3.6,31:58:00,9.5,495,1.9
SUMMER,S10,Kindred Kindred,79,66,9%,6.8,43,36,54%,3.4,32:22:00,6.2,337,2.4
SUMMER,S10,Karthus Karthus,44,95,9%,3.9,24,20,55%,3.3,33:07:00,7.5,673,14.3
SUMMER,S10,Akali Akali,73,47,8%,7.1,31,42,42%,3,31:05:00,8.1,463,0.9
SUMMER,S10,Blitzcrank Blitzcrank,60,57,7%,7.1,32,28,53%,3,32:40:00,1,169,-1.6
SUMMER,S10,Gragas Gragas,73,36,7%,5.6,34,39,47%,3.2,33:10:00,4.9,336,-3.2
SUMMER,S10,Maokai Maokai,79,30,7%,8.5,39,40,49%,2.5,32:39:00,5.9,379,-15
SUMMER,S10,Taric Taric,63,40,7%,7.7,29,34,46%,3.2,31:37:00,1.1,89,1.2
SUMMER,S10,Fiddlesticks Fiddlesticks,32,69,6%,5.5,17,15,53%,2.8,31:34:00,6.1,415,2.1
SUMMER,S10,Lucian Lucian,60,41,6%,6.5,29,31,48%,3.4,32:55:00,9.3,555,10.7
SUMMER,S10,Kayle Kayle,57,43,6%,8.6,33,24,58%,3.4,31:45:00,9,525,12.5
SUMMER,S10,KhaZix KhaZix,55,45,6%,5.6,34,21,62%,3.6,32:48:00,5.7,359,-0.8
SUMMER,S10,Elise Elise,33,57,6%,6.1,11,22,33%,2.2,33:30:00,5.1,310,-8.7
SUMMER,S10,Rakan Rakan,74,14,6%,8.8,40,34,54%,5.7,33:22:00,1.2,136,1.3
SUMMER,S10,Nocturne Nocturne,50,38,6%,6.4,27,23,54%,2.3,32:22:00,5.9,311,3.6
SUMMER,S10,Shyvana Shyvana,37,50,6%,4.3,23,14,62%,3.5,31:38:00,7.3,567,12.3
SUMMER,S10,Urgot Urgot,49,29,5%,7.2,23,26,47%,2.6,32:51:00,7.7,378,-2.6
SUMMER,S10,Jax Jax,42,35,5%,8.3,19,23,45%,2.1,31:44:00,8,388,0.3
SUMMER,S10,Soraka Soraka,38,38,5%,5.3,22,16,58%,5.1,32:40:00,4,190,-6.9
SUMMER,S10,Rumble Rumble,36,38,5%,5.7,14,22,39%,3.1,32:27:00,7,517,-12.9
