Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,J1mmy,ADC,27,11.10%,2,2.1,2.7,3.2,8.9,374,70.70%,23.7,390,0.86,0.34,0.26,0.08,-731,-14,-461,11.10%,11.10%,0,-
Spring,S8,JackeyLove,ADC,51,78.40%,4.5,4.8,2.3,5.5,10.3,473,65.60%,30.7,713,-,0.36,0.44,0.08,-,-,-,-,-,0,-
Spring,S8,Jackob,TOP,8,12.50%,0.9,1,4,2.5,7.4,331,29.60%,23.4,407,0.61,0.33,0.12,0.09,-521,-6,-327,12.50%,12.50%,0,1
Spring,S8,Jaeger,TOP,23,43.50%,1.9,1.6,3.1,4.3,8.8,386,60.40%,25.3,452,0.98,0.51,0.17,0.09,-194,0,17,4.30%,34.80%,0,3
Spring,S8,Jankos,JUNGLE,26,57.70%,5.7,1.7,1.5,7.2,5.1,320,79.40%,9.3,197,3,1.47,0.68,0.38,135,2,37,42.30%,3.80%,0,1
Spring,S8,Japone,SUPPORT,31,38.70%,2.7,0.5,2.8,7.1,1.6,247,72.30%,8.6,148,2.41,1.4,0.4,0.39,92,3,-40,45.20%,19.40%,0,1
Spring,S8,Javaaa,ADC,33,33.30%,2.7,3,2.6,4.1,10.1,415,66.60%,29.7,520,1.19,0.42,0.35,0.09,-256,-9,-132,12.10%,9.10%,0,1
Spring,S8,JayJ,SUPPORT,28,64.30%,3.2,1,3,8.6,1.6,268,69.60%,10,202,2.13,1.25,0.24,0.37,20,-1,-80,25%,14.30%,0,-
Spring,S8,Jayke,SUPPORT,28,50%,2.6,0.7,3.3,8.1,1.6,258,64.20%,8.3,169,1.95,1.22,0.27,0.43,1,-4,23,25%,17.90%,0,1
Spring,S8,Jejky,JUNGLE,14,100%,5.5,5.2,2.5,8.6,5.2,410,62.40%,17,453,1.95,1.13,0.29,0.27,1297,10,895,0%,0%,0,-
Spring,S8,Jekyll,SUPPORT,9,11.10%,1.6,0.4,3.6,5.1,1.4,231,51.50%,10.4,179,1.84,0.95,0.32,0.26,-532,4,-203,0%,0%,0,-
Spring,S8,Jenkins,TOP,18,11.10%,1.9,1.6,2.7,3.6,8,348,54.80%,25,395,1.05,0.54,0.14,0.14,-398,-6,-220,5.60%,22.20%,0,2
Spring,S8,Jensen,MID,23,52.20%,7.1,3.2,1.1,4.8,10.2,426,73.20%,26.7,543,0.97,0.38,0.26,0.15,234,7,320,34.80%,4.30%,0,4
Spring,S8,Jesiz,SUPPORT,14,78.60%,6.2,1,1.6,8.8,1.5,270,68.70%,9.1,195,2.48,1.57,0.31,0.51,249,-1,364,14.30%,7.10%,0,-
Spring,S8,Jeskla,ADC,37,62.20%,5.2,4,1.7,4.8,10.4,464,73.90%,34.7,657,1.16,0.48,0.34,0.2,395,3,326,10.80%,2.70%,0,-
Spring,S8,Jestkui Max,SUPPORT,15,46.70%,2.9,0.5,2.4,6.3,1.5,239,68.70%,8.6,134,2.17,1.25,0.34,0.37,-119,5,-57,26.70%,13.30%,0,-
Spring,S8,Jiizuke,MID,32,50%,2.9,3,2.3,3.8,9.5,406,70.80%,30.4,580,1.24,0.64,0.23,0.18,22,1,60,18.80%,15.60%,0,10
Spring,S8,Jin,TOP,28,32.10%,2.1,1.9,2.9,4.1,8.3,356,60.00%,22.4,379,1.08,0.61,0.19,0.19,-270,1,200,10.70%,7.10%,0,1
Spring,S8,Jinoo,TOP,49,34.70%,3,2.4,2.2,4.2,9.1,413,61.90%,26.2,489,-,0.56,0.24,0.13,-,-,-,-,-,0,-
Spring,S8,Jirall,TOP,25,76%,5.7,3,1.6,6.1,8.5,400,58.40%,17.3,370,1.18,0.62,0.18,0.22,176,0,197,28%,12%,0,7
Spring,S8,Jockster,SUPPORT,28,57.10%,2.6,0.7,3.4,7.9,1.9,263,72.30%,7.5,140,2.1,1.48,0.26,0.55,-29,0,-87,50%,7.10%,0,-
Spring,S8,Joey,SUPPORT,24,62.50%,5.1,1,2,9.1,1.6,270,75.40%,8.4,165,2.22,1.38,0.35,0.42,-59,3,34,33.30%,0%,0,-
Spring,S8,Josedeodo,JUNGLE,24,50%,4,1.4,1.8,5.9,4.6,303,67.40%,9.4,176,2.73,1.47,0.52,0.32,-193,-6,-283,45.80%,12.50%,0,-
Spring,S8,Julaxe,JUNGLE,13,23.10%,1.9,1.2,3,4.5,4.8,297,75.90%,12.7,196,2.5,1.37,0.4,0.22,-307,-2,-188,23.10%,7.70%,0,-
Spring,S8,Jurassiq,ADC,18,11.10%,2.3,2.7,2.7,3.7,9.2,389,74.20%,27.3,457,0.98,0.31,0.34,0.14,25,4,103,33.30%,11.10%,0,-
Spring,S8,Justice,MID,8,37.50%,4.2,2.1,1.6,4.6,9,371,68.70%,21.4,387,1.28,0.75,0.42,0.34,-196,-16,-287,37.50%,12.50%,0,-
Spring,S8,Juves,JUNGLE,24,25%,1.6,1.6,4.1,5,4.4,297,71.90%,12.2,203,2.56,1.56,0.36,0.24,-294,-12,-157,54.20%,16.70%,0,-
Spring,S8,K,SUPPORT,42,42.90%,3.7,0.5,2,6.7,1.8,254,66.10%,7.7,138,2.54,1.79,0.36,0.61,87,2,-12,23.80%,11.90%,0,-
Spring,S8,KEITH,ADC,22,59.10%,6.6,4.3,1.6,6.4,10,453,78.20%,32.1,704,1.13,0.42,0.34,0.11,424,6,177,27.30%,9.10%,0,1
Spring,S8,KaKAO,JUNGLE,31,38.70%,4.6,1.8,1.8,6.4,5.3,326,76.90%,11.5,203,2.65,1.36,0.5,0.31,448,5,483,35.50%,0%,0,3
Spring,S8,KaSing,SUPPORT,31,58.10%,4.5,0.4,1.6,6.7,1.3,247,72.70%,7.3,124,2.41,1.55,0.38,0.54,-102,-4,-40,22.60%,6.50%,0,-
Spring,S8,Kaas,SUPPORT,6,66.70%,5.5,0.2,1.7,9,1.7,256,61.10%,7.6,156,2.37,1.49,0.33,0.57,-115,-2,-84,33.30%,16.70%,0,-
Spring,S8,Kadir,JUNGLE,16,31.30%,3.5,1.8,1.9,5.1,4.7,302,77.40%,9,161,2.4,1.34,0.39,0.26,-336,-4,-370,31.30%,0%,0,1
Spring,S8,Kaiwing,SUPPORT,30,33.30%,2.6,0.5,2.3,5.4,1.7,246,62.20%,8.6,167,2.25,1.42,0.32,0.44,-37,-2,-52,16.70%,6.70%,0,-
Spring,S8,Karakal Jr,SUPPORT,28,32.10%,3.2,0.6,2.4,7,1.4,234,73.10%,6.6,109,2.3,1.25,0.43,0.37,8,3,-50,14.30%,0%,0,-
Spring,S8,Karin,JUNGLE,25,24%,3.4,1.8,2.4,6.2,4.7,306,80.70%,11.3,196,-,1.37,0.57,0.31,-,-,-,-,-,0,-
Spring,S8,Karsa,JUNGLE,36,66.70%,4.5,2.1,1.9,6.4,5.2,336,72.80%,11.5,223,1.77,1.26,0.51,0.37,591,9,723,11.10%,2.80%,0,1
Spring,S8,Kashtelan,MID,32,68.80%,5.4,3.9,1.9,6.2,9.5,432,68.20%,24.8,536,1.04,0.45,0.18,0.15,173,3,266,25%,0%,0,2
Spring,S8,Kazu,SUPPORT,25,36%,1.5,0.4,3.5,4.7,1.6,240,59.50%,8.1,148,2.21,1.32,0.41,0.44,-132,-3,-292,12%,28%,0,-
Spring,S8,KeY,SUPPORT,45,48.90%,3.1,0.5,2.2,6.2,2.1,269,69.10%,7.1,130,2.57,1.51,0.45,0.46,128,2,107,15.60%,8.90%,0,-
Spring,S8,Keane,MID,28,60.70%,3.8,4.5,2.5,5,10,436,77.40%,29.5,617,0.89,0.42,0.19,0.12,-166,-4,-237,28.60%,3.60%,0,3
Spring,S8,Kektz,TOP,28,46.40%,1.7,1.6,3.5,4.3,8.3,365,59.70%,25.9,490,1.01,0.61,0.14,0.21,48,6,-93,14.30%,10.70%,0,8
Spring,S8,Kesav,ADC,1,0%,1.5,2,4,4,8.6,362,66.70%,27,511,0.59,0.33,0.17,0.08,-820,-1,-191,0%,0%,0,-
Spring,S8,Kesav,MID,2,0%,0.9,0,3.5,3,8.6,360,75.00%,30.3,529,0.8,0.48,0.05,0.07,-136,0,148,0%,0%,0,-
Spring,S8,Keymaker,ADC,25,36%,2.5,2.4,2.5,3.7,9.3,399,69.70%,30.3,551,1,0.41,0.27,0.17,-190,-1,-195,12%,4%,0,2
Spring,S8,Khan,TOP,55,76.40%,4.3,2.6,1.7,4.5,9.8,440,61.40%,25.8,505,1.52,0.78,0.27,0.23,257,7,186,16.40%,12.70%,1,13
Spring,S8,Khynm,JUNGLE,24,45.80%,3.1,2.1,2.5,5.6,5.4,329,77.00%,12.9,251,2.53,1.54,0.51,0.48,135,10,378,37.50%,25%,0,3
Spring,S8,Kid,JUNGLE,1,100%,5.8,7,4,16,4.2,363,79.30%,11.7,331,-,0.87,0.42,0.11,-,-,-,-,-,0,-
Spring,S8,Kiin,TOP,49,65.30%,3.8,1.7,1.4,3.7,9.7,416,59.20%,24,411,1.21,0.65,0.23,0.15,-6,2,49,18.40%,14.30%,0,3
Spring,S8,Kikis,JUNGLE,14,50%,3.8,1.5,1.9,5.9,4.9,312,74.60%,13.3,260,1.96,1.3,0.33,0.23,-63,0,-70,42.90%,7.10%,0,-
Spring,S8,Kimi,ADC,21,23.80%,3.9,3,1.7,3.5,9.7,404,72.50%,30.2,532,1.15,0.45,0.34,0.18,-64,-1,-141,23.80%,0%,0,2
Spring,S8,Kindless,ADC,27,66.70%,5.6,4.1,1.7,5.7,9.5,428,69.60%,29.1,622,1.34,0.52,0.33,0.2,-43,-2,-24,25.90%,7.40%,1,1
Spring,S8,KingJ,TOP,34,38.20%,2.5,1.9,2.5,4.5,7.8,365,57.40%,24.7,454,1.08,0.64,0.15,0.13,29,0,35,20.60%,2.90%,0,3
Spring,S8,Kinzu,ADC,19,47.40%,4.7,3.8,1.9,5.2,9.6,433,71.00%,30.4,623,1.32,0.49,0.35,0.19,104,-6,150,31.60%,0%,0,1
Spring,S8,Kirei,JUNGLE,6,66.70%,3.6,1.5,2.5,7.5,4.6,312,63.40%,10.8,222,1.96,1.06,0.47,0.35,-209,0,-150,50%,0%,0,-
Spring,S8,Kirrrra,MID,31,77.40%,4.7,3.2,2,6.1,9.3,420,66.80%,26.1,578,1.4,0.59,0.31,0.26,62,0,-34,25.80%,3.20%,0,9
Spring,S8,Kit,SUPPORT,34,50%,2.9,0.8,3,7.7,1.7,270,62.10%,8,159,2.11,1.25,0.29,0.32,-18,0,7,17.60%,2.90%,0,-
Spring,S8,Kitzuo,JUNGLE,8,37.50%,2,0.8,3.3,5.6,4.3,282,63.70%,8.6,134,2.82,1.4,0.52,0.16,-730,-15,-814,25%,12.50%,0,-
Spring,S8,Klaj,SUPPORT,38,57.90%,3.7,0.7,2.1,7.1,1.7,251,67.70%,6.9,123,2.65,1.64,0.45,0.49,177,2,-50,13.20%,7.90%,0,-
Spring,S8,Knight,MID,48,52.10%,4.5,4,2.1,5.3,9.8,427,73.10%,30.6,576,-,0.54,0.29,0.09,-,-,-,-,-,0,-
Spring,S8,Knight,JUNGLE,33,42.40%,3.1,2.8,3.1,6.8,5.5,350,74.40%,13.7,276,2.53,1.3,0.48,0.18,255,11,503,45.50%,15.20%,0,5
Spring,S8,Koala,SUPPORT,38,71.10%,4.5,0.7,1.9,7.9,1.5,260,72.80%,7.9,148,2.3,1.49,0.27,0.46,9,2,129,5.30%,7.90%,0,1
Spring,S8,Kobbe,ADC,31,58.10%,5.2,2.9,1.3,3.8,10.7,439,69.30%,32.2,560,1.16,0.37,0.44,0.09,-215,-3,-77,22.60%,9.70%,1,-
Spring,S8,Kocourek,JUNGLE,12,33.30%,2.7,2.1,3.3,6.9,4.7,310,72.60%,12.6,249,1.73,0.82,0.39,0.34,-333,1,-253,16.70%,8.30%,0,1
Spring,S8,Kold,JUNGLE,18,33.30%,4.3,1.7,1.8,5.8,5.2,312,77.90%,11.6,206,2.52,1.37,0.5,0.28,-52,-4,-100,27.80%,16.70%,0,-
Spring,S8,Kongyue,JUNGLE,10,10%,2.1,1.7,2.8,4.3,4.7,300,80.70%,10.9,189,2.87,1.68,0.42,0.46,103,4,-78,50%,0%,0,1
Spring,S8,Kpop,SUPPORT,4,0%,1.1,1.3,4.3,3.5,2.5,259,63.30%,9.4,136,1.77,0.88,0.2,0.26,-255,-8,-99,0%,0%,0,-
Spring,S8,Kramer,ADC,42,64.30%,6.4,2.6,1,3.9,11.1,459,73.40%,31.5,537,1.77,0.58,0.6,0.2,189,0,70,35.70%,4.80%,0,2
Spring,S8,Kreox,JUNGLE,19,52.60%,3.6,1.5,2.1,6.1,4.9,311,68.50%,12.9,223,2.35,1.4,0.37,0.34,40,0,115,57.90%,5.30%,0,4
Spring,S8,Krepo,SUPPORT,2,50%,2.3,0.5,3,6.5,2.6,272,62.90%,7.1,112,2.05,1.38,0.29,0.37,-58,8,-136,0%,0%,0,-
Spring,S8,Kriss,JUNGLE,35,60%,4.4,3.2,2.6,8.1,5,340,72.40%,12.5,268,2.62,1.55,0.41,0.35,-102,2,-186,42.90%,22.90%,0,8
Spring,S8,Kroghsen,MID,3,33.30%,1.7,3,3.7,3.3,8.5,369,63.10%,27.3,588,1.28,0.56,0.29,0.18,-447,-16,-544,0%,66.70%,0,-
Spring,S8,Kronos,JUNGLE,16,31.30%,2.4,1.1,2.8,5.8,5.2,296,71.50%,8.6,154,2.83,1.42,0.62,0.24,-74,9,4,18.80%,0%,0,-
Spring,S8,Kruimel,MID,9,55.60%,2.8,1.7,2.2,4.4,8.7,373,60.10%,23.1,449,1.12,0.52,0.2,0.19,-250,-5,-123,44.40%,11.10%,0,1
Spring,S8,Kuma,JUNGLE,4,25%,2,0.8,3.3,5.8,4.1,262,91.90%,9.9,124,1.97,1.25,0.51,0.48,-617,-12,-500,25%,25%,0,-
Spring,S8,Kumo,TOP,22,59.10%,3,2.1,2.8,6.4,8,385,64.50%,19.8,414,0.98,0.53,0.13,0.12,-77,-1,-72,18.20%,18.20%,0,-
Spring,S8,Kuzan,MID,2,0%,0.1,0,3.5,0.5,9,355,25.00%,26.6,365,1.26,0.64,0.38,0.21,-300,-5,-676,0%,50%,0,-
Spring,S8,Kz,ADC,24,45.80%,3.2,3.3,2.1,3.5,9.3,409,69.30%,28.4,532,1.42,0.46,0.38,0.14,-76,-3,126,12.50%,4.20%,0,1
Spring,S8,LBB,ADC,9,33.30%,2.9,2.3,2,3.4,9.6,399,68.50%,23.2,420,1.37,0.43,0.56,0.13,-747,-19,-587,0%,11.10%,0,1
Spring,S8,LEP,TOP,21,66.70%,4.4,2.1,1.8,5.8,8.7,397,63.00%,19.9,389,1,0.54,0.16,0.1,-95,2,107,19%,19%,0,5
Spring,S8,LL,TOP,29,10.30%,1.7,2.2,3.7,4,8.5,370,58.50%,22.5,385,0.89,0.51,0.16,0.07,-339,-4,-244,24.10%,20.70%,0,9
Spring,S8,LUSKKA,ADC,23,47.80%,7.9,4.2,1.3,6,9.6,429,75.50%,32.2,640,1.2,0.51,0.35,0.18,352,2,200,21.70%,0%,0,-
Spring,S8,Labrov,SUPPORT,3,0%,1.4,0.3,3,4,0.9,220,61.90%,9.8,165,2.31,1.69,0.27,0.71,-484,-9,-102,0%,33.30%,0,-
Spring,S8,Lactea,TOP,3,33.30%,1.7,2.7,4.3,4.7,8.5,387,84.20%,25.2,451,1.14,0.6,0.13,0.13,-58,7,55,33.30%,0%,0,2
Spring,S8,Lactea,ADC,7,28.60%,2,3.7,3.4,3.1,9.9,434,81.60%,35.4,763,1.75,0.52,0.48,0.07,-210,0,-82,14.30%,28.60%,0,1
Spring,S8,Lamabear,JUNGLE,28,46.40%,4,1.6,1.8,5.5,4.8,297,78.20%,9.7,191,2.51,1.32,0.53,0.33,44,-2,-114,21.40%,7.10%,0,3
Spring,S8,Larssen,MID,10,50%,4.5,2.3,1.5,4.4,10.2,423,54.40%,23.7,435,0.87,0.42,0.15,0.15,139,9,142,20%,10%,0,1
Spring,S8,Lava,MID,43,51.20%,3.7,3.3,2,4.1,9.4,406,81.00%,30.7,565,1.21,0.61,0.3,0.14,175,-2,122,37.20%,4.70%,1,1
Spring,S8,Lehends,SUPPORT,6,83.30%,20,0.3,0.3,6.3,1.5,265,66.40%,13.2,213,2.3,1.39,0.29,0.42,-46,-7,-192,33.30%,16.70%,0,-
Spring,S8,Lekcyc,SUPPORT,19,47.40%,3.6,0.5,2.3,7.9,1.8,250,67.20%,8,153,2.3,1.44,0.33,0.36,134,4,-62,31.60%,5.30%,0,-
Spring,S8,LemonNation,SUPPORT,20,30%,2.2,0.4,2.7,5.4,1.6,249,64.40%,8.9,150,2.36,1.29,0.37,0.35,-45,-2,-137,30%,5%,0,1
Spring,S8,Leozuxo,JUNGLE,19,78.90%,3.8,1.3,2.2,6.8,4.5,313,68.70%,9.2,181,2.12,1.07,0.46,0.39,-306,-8,-417,36.80%,10.50%,0,-
Spring,S8,LetMe,TOP,53,67.90%,4.5,1.6,1.6,5.8,8.4,382,60.50%,19.6,368,0.88,0.49,0.13,0.1,-59,1,-77,5.70%,3.80%,0,1
Spring,S8,Levi,JUNGLE,10,40%,2.9,2.3,2.9,6,5.6,322,81.00%,11.3,202,2.29,1.21,0.46,0.27,30,6,219,30%,20%,0,-
Spring,S8,Lex,ADC,14,7.10%,2.7,2.2,2,3.1,9.4,385,69.20%,28.1,515,0.97,0.39,0.27,0.1,76,5,-40,14.30%,7.10%,0,-
Spring,S8,Leza,MID,17,52.90%,3.2,3.9,2.7,4.6,10.5,438,70.40%,30.4,610,1.4,0.63,0.31,0.17,212,11,156,17.60%,17.60%,0,18
Spring,S8,Liang,TOP,42,42.90%,2.5,2.1,2.2,3.6,8.6,379,51.40%,23.2,435,0.95,0.52,0.14,0.1,-299,-7,-257,26.20%,4.80%,0,8
Spring,S8,Licorice,TOP,23,52.20%,2.8,2.6,2.4,4,9.2,405,57.30%,25.1,519,1.37,0.67,0.21,0.15,183,9,144,21.70%,17.40%,0,8
Spring,S8,Lies,MID,33,36.40%,2.8,2.3,2.7,5.3,8.6,383,67.70%,22.9,441,0.99,0.54,0.2,0.23,-207,-7,-280,24.20%,21.20%,0,8
Spring,S8,Lies,TOP,8,25%,2.2,2,3.1,5,7.8,350,48.50%,23.1,421,-,0.59,0.09,0.13,-,-,-,-,-,0,-
Spring,S8,Light,ADC,4,0%,1.6,1.5,2.8,3,10.3,401,58.90%,30.7,557,-,0.34,0.29,0.08,-,-,-,-,-,0,-
Spring,S8,Light,MID,1,0%,2.7,0,3,8,9,362,72.70%,20,436,-,0.34,0.21,0.21,-,-,-,-,-,0,-
Spring,S8,LilV,ADC,28,50%,3.8,3.3,1.9,3.9,10.5,437,71.00%,30,565,1.14,0.34,0.41,0.07,-106,-4,-104,7.10%,7.10%,2,-
Spring,S8,Lindarang,TOP,45,48.90%,2.8,1.7,2,4.1,8.5,386,62.50%,23.3,418,1.1,0.63,0.15,0.1,69,-5,-170,40%,8.90%,0,3
Spring,S8,Linsanity,MID,18,38.90%,2.7,2.4,2.7,4.8,9.5,385,70.70%,31.3,542,1.17,0.56,0.28,0.2,-314,-5,-348,22.20%,16.70%,0,1
Spring,S8,Lion,SUPPORT,5,20%,2.3,0.6,3,6.2,2.1,245,59.20%,8.9,187,2.31,1.14,0.3,0.31,-362,4,-150,0%,20%,0,-
Spring,S8,Lipanek,MID,2,50%,3.8,5.5,2.5,4,8.6,414,72.80%,31.3,694,0.98,0.46,0.13,0.13,-1094,-24,-1298,0%,0%,0,-
Spring,S8,Lipanek,JUNGLE,3,0%,1.2,1.7,4,3,5.1,303,79.60%,13.3,240,1.71,1,0.23,0.27,150,11,345,0%,0%,0,-
Spring,S8,Lira,JUNGLE,32,50%,3.3,1.5,1.8,4.5,5.4,319,69.70%,10.5,175,2.39,1.31,0.45,0.38,-297,1,-140,21.90%,15.60%,0,1
Spring,S8,Lloyd,ADC,6,33.30%,3.2,4.5,3,5.2,9.2,418,79.30%,28,579,1.06,0.41,0.28,0.09,-601,-10,-4,0%,33.30%,0,-
Spring,S8,Lodik,ADC,19,68.40%,6.7,4.7,1.4,4.5,9.6,442,69.10%,31.2,688,0.98,0.33,0.23,0.12,63,3,-31,15.80%,0%,0,2
Spring,S8,LokeN,ADC,28,46.40%,6.8,3.9,1.3,4.6,10.3,448,76.90%,30.5,578,-,0.32,0.38,0.08,-,-,-,-,-,0,-
Spring,S8,Looch,MID,18,27.80%,3.8,2.7,1.7,3.7,10,406,75.70%,28.4,508,1.01,0.4,0.18,0.14,283,8,148,27.80%,16.70%,0,4
Spring,S8,Loong,TOP,18,22.20%,1.9,1.1,2.5,3.7,8.3,356,58.70%,20.5,338,-,0.58,0.13,0.11,-,-,-,-,-,0,-
Spring,S8,Loop,SUPPORT,19,36.80%,2.3,0.4,2.7,5.9,2.2,254,65.10%,7.7,147,2.28,1.48,0.28,0.53,11,1,163,15.80%,21.10%,0,-
Spring,S8,Lost,ADC,27,59.30%,6.6,3.6,1.2,4.5,9.9,440,70.20%,33.2,636,1.12,0.43,0.3,0.15,231,6,-6,18.50%,7.40%,0,2
Spring,S8,Lourlo,TOP,18,22.20%,3.6,1.9,1.6,3.8,9,377,68.70%,22.6,407,0.98,0.55,0.16,0.11,-220,2,39,5.60%,16.70%,0,-
Spring,S8,Low,ADC,22,9.10%,2,2,2.9,3.6,9.2,382,53.80%,25.1,480,1,0.42,0.24,0.09,-666,-10,-431,9.10%,9.10%,0,-
Spring,S8,Lucete,MID,19,47.40%,5.4,2.1,1.3,4.7,9.7,401,64.40%,32.4,550,1.13,0.55,0.21,0.27,72,-8,-110,42.10%,5.30%,0,1
Spring,S8,Lucifer,SUPPORT,5,40%,3,0.4,1.8,5,1.5,221,67.90%,9.7,136,2.47,1.8,0.27,0.54,-228,3,-748,40%,0%,0,-
Spring,S8,LukasNegro,TOP,26,42.30%,2.1,1.2,2.5,4.1,8.4,374,52.20%,21.3,414,1.19,0.73,0.15,0.27,-264,-7,-297,11.50%,15.40%,0,2
Spring,S8,Lukezy,MID,14,7.10%,1.2,2.3,3.9,2.2,9.5,378,60.00%,34.5,599,1.27,0.54,0.27,0.17,-36,9,-52,7.10%,14.30%,0,2
Spring,S8,Lurox,JUNGLE,31,32.30%,2.7,1.1,2.6,6.2,4.1,288,65.60%,9.5,180,1.86,0.92,0.39,0.35,-539,-12,-571,16.10%,19.40%,0,-
Spring,S8,LvMao,SUPPORT,50,48%,3.3,0.7,2.4,7.2,1.5,262,71.90%,6.5,117,-,1.3,0.27,0.43,-,-,-,-,-,0,-
Spring,S8,Lvsyan,MID,2,0%,4,5,1.5,1,8.9,391,85.70%,33.3,519,1.53,0.8,0.34,0.33,240,2,-328,50%,0%,0,1
Spring,S8,Lwx,ADC,45,46.70%,3.8,4.5,2.3,4.4,10.1,447,69.90%,31.1,592,-,0.33,0.32,0.04,-,-,-,-,-,1,-
Spring,S8,Lynkez,MID,3,66.70%,4,3.7,2,4.3,9.2,408,77.70%,30.5,555,1.23,0.37,0.32,0.18,11,-8,-255,66.70%,0%,0,-
Spring,S8,MANTARRAYA,TOP,17,52.90%,1.9,1.7,3.2,4.2,8.1,370,55.10%,20.7,346,0.94,0.58,0.12,0.17,-299,-4,-92,11.80%,17.60%,0,9
Spring,S8,MGX,MID,5,20%,1.6,2,3,2.8,9.5,371,45.00%,29.4,471,0.91,0.55,0.16,0.2,-548,-5,-236,0%,20%,0,1
Spring,S8,MMD,TOP,7,71.40%,4.4,1.7,2,7.1,8,394,63.50%,20.4,431,0.99,0.57,0.15,0.14,-78,-4,76,28.60%,14.30%,0,-
Spring,S8,MaHa,ADC,14,7.10%,2,1.3,2.1,2.8,9.7,389,68.00%,27.7,529,1.02,0.44,0.32,0.12,-164,-7,-428,7.10%,7.10%,0,-
Spring,S8,MaRin,TOP,25,32%,2.1,1.4,2.8,4.4,8.9,379,60.30%,23.3,408,-,0.52,0.2,0.06,-,-,-,-,-,0,-
Spring,S8,Madness,ADC,37,51.40%,5.6,4.1,1.5,4,11,464,69.40%,31.4,586,1.01,0.41,0.27,0.1,232,13,348,27%,5.40%,0,4
Spring,S8,Maestro,SUPPORT,6,16.70%,1.3,0.2,5,6.3,1.7,224,81.00%,8,121,-,1.39,0.21,0.5,-,-,-,-,-,0,-
Spring,S8,MagiFelix,MID,35,60%,4.1,3.2,2,5.1,9.4,400,75.80%,24.7,476,1.1,0.53,0.23,0.12,42,-5,-180,22.90%,2.90%,0,7
Spring,S8,Magic,JUNGLE,34,50%,3.9,1.2,2.4,8.1,4.1,289,79.20%,9.9,177,-,1.35,0.43,0.33,-,-,-,-,-,0,-
Spring,S8,Magico,MID,21,23.80%,2.1,1.9,2.5,3.4,8.9,367,55.00%,23.7,406,1.1,0.63,0.24,0.25,-631,-8,-183,0%,28.60%,0,6
Spring,S8,Mako,SUPPORT,18,11.10%,1.7,0.4,3.2,4.9,1.1,216,61.70%,6.8,123,2.07,1.14,0.37,0.41,-293,-7,-59,16.70%,0%,0,-
Spring,S8,Malrang,ADC,1,100%,12,2,1,10,7.4,398,57.10%,17.9,382,0.64,0.48,0.08,0.16,-47,38,398,0%,100%,0,-
Spring,S8,Malrang,JUNGLE,34,70.60%,5.3,1.8,1.5,6.2,5,336,67.30%,11.4,201,2.86,1.5,0.46,0.35,173,-4,-3,52.90%,0%,0,1
Spring,S8,Manu,ADC,11,72.70%,16.5,4.5,0.5,4.5,9.7,441,61.80%,32.2,698,1.03,0.35,0.28,0.14,300,6,198,9.10%,0%,0,1
Spring,S8,Maple,MID,52,76.90%,7.7,3.7,1.1,5,9.6,423,70.50%,26.9,529,1.27,0.72,0.26,0.23,158,1,38,34.60%,5.80%,1,12
Spring,S8,Marf,MID,4,0%,2.1,1.8,2.5,3.5,8.9,358,73.70%,19.6,366,0.82,0.36,0.16,0.2,-496,-14,-676,0%,0%,0,-
Spring,S8,Marshall,TOP,31,38.70%,3.3,2.4,1.9,3.8,8.4,376,56.60%,20.1,345,0.98,0.57,0.14,0.1,202,2,128,16.10%,9.70%,0,4
Spring,S8,Martin,ADC,29,20.70%,1.9,2.4,2.7,2.8,10.1,415,60.10%,32.3,565,-,0.46,0.33,0.09,-,-,-,-,-,0,-
Spring,S8,Mata,SUPPORT,51,62.70%,6,0.7,1.2,6.5,2.1,266,67.70%,6.7,122,2.67,1.74,0.47,0.62,59,2,-81,21.60%,7.80%,0,-
Spring,S8,Matsukaze,ADC,19,36.80%,4.2,2.8,1.6,4.1,9.8,416,73.30%,31.9,625,1.26,0.38,0.43,0.09,103,2,9,10.50%,0%,0,3
Spring,S8,Matt,SUPPORT,18,22.20%,2.7,0.7,2.6,6.1,1.6,238,76.00%,7.8,135,2.17,1.42,0.27,0.5,-112,-5,-41,22.20%,5.60%,0,-
Spring,S8,Max,SUPPORT,52,36.50%,2.4,0.5,2.3,5,2.1,264,68.70%,8.4,155,2.23,1.28,0.34,0.28,131,1,249,15.40%,7.70%,0,1
Spring,S8,Maxlore,JUNGLE,18,44.40%,4,1.7,1.9,6.1,5.7,328,72.10%,11.8,224,2.95,1.41,0.61,0.39,136,8,263,50%,11.10%,0,2
Spring,S8,Maxtrobo,TOP,18,44.40%,2.8,2.1,2.7,5.4,7.8,372,62.80%,18.4,368,1.12,0.51,0.22,0.09,160,-3,-12,22.20%,11.10%,0,3
Spring,S8,Melon,JUNGLE,7,42.90%,2.6,1,2.9,6.3,4.5,317,76.40%,9.3,154,-,1.59,0.54,0.34,-,-,-,-,-,0,-
