Split,Season,Player,Position,Games,Win Rate,KLDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP %,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD-15min,CSD-15min,XPD-15MIN,FB%,FB victim,penta kills,solo kills
Spring,S8,Falco,SUPPORT,43,76.70%,3.8,0.6,2,7.2,1.7,263,63.70%,7.6,147,2.05,1.28,0.21,0.42,26,6,24,11.60%,2.30%,0,-
Spring,S8,FallenBandit,TOP,18,55.60%,2.9,2.2,2.6,5.1,8.1,391,54.80%,25.9,483,1.22,0.69,0.19,0.18,90,-4,89,11.10%,22.20%,0,3
Spring,S8,Fanxy,MID,24,29.20%,4.3,3.3,2,5.5,9.6,403,71.30%,30.7,549,1.18,0.44,0.3,0.18,-118,-4,-44,37.50%,8.30%,0,2
Spring,S8,Farfetch,SUPPORT,16,43.80%,3.1,0.5,2.8,8.1,1.2,246,77.20%,9.3,174,2.28,1.28,0.4,0.36,63,4,14,37.50%,12.50%,0,-
Spring,S8,Fdy,ADC,26,34.60%,3.3,3.3,2.4,4.7,9.9,418,60.40%,26.7,500,-,0.37,0.28,0.06,-,-,-,-,-,0,-
Spring,S8,Fear,MID,2,50%,4.7,2,1.5,5,10.1,406,83.30%,25.6,483,1.35,0.88,0.41,0.38,-278,0,125,50%,0%,0,-
Spring,S8,Febiven,MID,32,50%,5.8,2.8,1.1,3.6,9.6,402,75.40%,26.5,470,1.08,0.48,0.19,0.17,-143,3,18,12.50%,15.60%,1,7
Spring,S8,FeniX,MID,23,65.20%,4.6,3.6,1.8,4.8,9.8,425,65.20%,29.7,642,0.88,0.38,0.21,0.08,435,12,320,30.40%,8.70%,0,8
Spring,S8,Fill,SUPPORT,18,55.60%,3.9,0.8,2.2,7.8,1.9,255,56.30%,5.5,104,2.3,1.3,0.33,0.38,-86,1,-43,5.60%,16.70%,0,-
Spring,S8,Finn,TOP,10,50%,2,1.1,2.6,4,8.1,369,51.40%,22.5,381,1.02,0.59,0.14,0.2,126,2,-238,20%,0%,0,2
Spring,S8,FireRain,MID,5,0%,0.6,0.4,2,0.8,8.8,332,37.30%,21,347,-,0.54,0.24,0.27,-,-,-,-,-,0,-
Spring,S8,Fireloli,JUNGLE,15,26.70%,2,0.9,3.2,5.5,4.7,297,70.40%,11,186,-,1.14,0.48,0.27,-,-,-,-,-,0,-
Spring,S8,Fiseyin,MID,1,0%,0.4,1,5,1,5.8,303,18.20%,23.7,282,0.79,0.44,0.12,0.12,-1448,-45,-1062,0%,0%,0,-
Spring,S8,Fitz,TOP,30,76.70%,2.7,2.1,2.5,4.5,8.4,388,57.70%,20.3,418,1.14,0.56,0.22,0.12,-124,0,-55,10%,26.70%,0,6
Spring,S8,Five,SUPPORT,36,33.30%,2.3,0.7,3.3,7,2.2,270,65.50%,9,158,-,1.36,0.41,0.37,-,-,-,-,-,0,-
Spring,S8,Fix,ADC,35,68.60%,4.9,4.9,2,4.8,9.7,452,74.20%,31.4,651,1.23,0.42,0.39,0.16,544,12,245,34.30%,11.40%,0,-
Spring,S8,Flame,TOP,18,33.30%,3.7,1.8,1.7,4.5,9,388,70.90%,24.2,464,1.1,0.57,0.22,0.11,105,4,-102,22.20%,16.70%,0,1
Spring,S8,Flandre,TOP,49,53.10%,3.3,2.3,2.2,5,9.9,443,66.90%,29.2,547,-,0.52,0.2,0.04,-,-,-,-,-,0,-
Spring,S8,Flawless,JUNGLE,55,63.60%,4.1,2.1,2.1,6.4,5,335,71.30%,12.1,235,-,1.67,0.55,0.44,-,-,-,-,-,0,-
Spring,S8,Flaxxish,TOP,12,41.70%,2.8,2.5,2.4,4.3,8,360,59.80%,22.5,385,0.98,0.57,0.08,0.11,-462,-4,16,16.70%,16.70%,0,-
Spring,S8,Fly,MID,12,33.30%,2.8,1.8,2.4,5,8.4,364,76.40%,26.9,537,1.04,0.48,0.21,0.19,-369,-12,-374,33.30%,8.30%,0,-
Spring,S8,FoFo,MID,33,42.40%,4.5,3,1.5,4,9.8,406,73.50%,28.8,553,1.1,0.52,0.26,0.14,117,11,207,9.10%,0%,0,5
Spring,S8,Focho,ADC,2,0%,1.4,1,4.5,5.5,8.4,346,79.20%,23.4,513,1.06,0.47,0.31,0.16,284,8,452,0%,0%,0,-
Spring,S8,Focho,JUNGLE,2,0%,0.8,0.5,3,2,5,274,44.30%,11.4,160,2.32,1.63,0.46,0.44,-469,-6,-720,50%,0%,0,-
Spring,S8,Frae,MID,28,50%,4,4,2.3,4.9,9.8,424,72.60%,25.6,513,0.98,0.4,0.23,0.13,38,-1,43,3.60%,17.90%,0,7
Spring,S8,Froggen,MID,14,78.60%,10.9,4.6,1.1,7,9.7,436,82.90%,33.7,718,1.27,0.62,0.31,0.19,259,10,271,21.40%,7.10%,0,6
Spring,S8,Froststrike,JUNGLE,6,50%,5.2,2.2,2.2,9.2,3.7,299,71.30%,8.7,173,1.55,1.15,0.23,0.39,185,-12,-26,33.30%,0%,0,-
Spring,S8,Frozen,MID,32,50%,4.9,3.1,1.8,5.7,9.5,409,67.40%,27.6,514,1.26,0.56,0.28,0.16,86,1,159,15.60%,15.60%,0,5
Spring,S8,Fury,ADC,48,52.10%,5.1,3.8,1.6,4.6,9.7,433,65.50%,29.3,553,-,0.43,0.45,0.14,-,-,-,-,-,0,-
Spring,S8,Fuzzy,ADC,20,55%,5.4,4.5,1.7,4.5,9.7,434,75.30%,34.8,747,1.24,0.45,0.3,0.14,157,6,249,10%,5%,0,2
