Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
71,Katarina,Middle,48.21%,3.48%,0.79%,3.02,9.81,7.34,6.37,9,21574,25419,6878,136,1.23,2.34,11699,15,0
72,Kayle,Top,50.60%,1.58%,0.06%,2.53,5.5,5.87,6.04,8,18805,21427,8189,172.3,3.24,7.05,11626,21,1
73,Kayn,Jungle,50.91%,9.98%,1.63%,2.24,7.3,6.44,7.02,10,16660,30783,13805,34.7,10.17,77.97,11005,2,0
74,Kennen,Top,45.63%,0.81%,0.04%,2.55,5.31,5.92,6.74,7,19490,21435,3855,151.8,0.97,2.26,10687,46,2
75,Kha'Zix,Jungle,51.74%,6.30%,0.62%,2.53,8.61,5.91,5.51,9,17209,28624,13267,25.9,10.63,77.42,11131,5,19
76,Kindred,Jungle,46.71%,1.85%,0.05%,2.27,6.02,6.67,6.92,8,15166,26266,12949,32.8,12.29,69.02,10409,40,1
77,Kled,Top,47.41%,0.76%,0.13%,2.61,6.7,6.19,7.5,7,19158,34597,3973,143.2,2.19,2.75,11469,20,3
78,Kog'Maw,ADC,51.61%,1.42%,0.07%,2.33,8.15,6.75,7.46,10,24919,20023,3316,163.6,2.2,8.23,12370,5,3
79,Kog'Maw,Middle,49.95%,0.41%,0.07%,3.6,7.71,6.52,7.19,8,27086,18306,1729,173.7,2.22,8.11,12238,8,3
80,LeBlanc,Middle,46.57%,2.66%,1.16%,2.3,7.93,5.44,6.67,10,19550,20864,4189,127.9,1.27,4.27,10760,31,2
81,LeBlanc,Support,50.09%,0.47%,1.16%,4.18,4.24,3.59,3.67,5,9348,10809,1493,72.5,0.45,1.23,6597,35,1
82,Lee Sin,Jungle,46.76%,8.98%,1.90%,3.49,6.48,5.88,7.68,8,12780,26791,7752,26.5,8.37,69.28,10320,10,0
83,Leona,Support,51.09%,5.97%,2.30%,3.7,2.17,6.12,12.49,5,7299,18676,1994,31.1,0.07,0.1,7622,10,3
84,Lissandra,Middle,50.05%,0.82%,0.06%,2.1,6.12,6.34,8.95,6,20278,20344,2827,155,1.36,3.89,10979,36,9
85,Lucian,ADC,48.42%,4.76%,0.29%,3.04,7.66,6.25,7.14,11,19523,20004,2988,167.2,2.63,7.77,12135,14,1
86,Lulu,Support,50.90%,5.09%,0.63%,3.02,1.63,5.23,13.53,6,5876,13062,2006,21.6,0.1,0.17,7536,19,0
87,Lux,Middle,51.58%,3.06%,0.67%,4.05,6.7,5.55,9.33,8,22109,14913,1267,137.6,0.8,2.55,10752,11,5
88,Lux,Support,50.43%,7.96%,0.67%,4.3,4.05,6.07,10.63,8,15951,12694,1073,39.2,0.37,0.68,8605,7,1
89,Malphite,Support,50.65%,2.49%,0.43%,3.78,3.86,5.87,8.98,7,13128,15992,1346,47.2,0.55,1.1,8082,26,3
90,Malphite,Top,52.20%,2.61%,0.43%,3.25,5.26,5.24,8.13,8,18360,19850,2100,136.4,1.22,2.22,10353,18,9
91,Malzahar,Middle,51.38%,1.46%,0.49%,3.85,5.64,5.73,7.87,7,21405,16098,1171,177,1.75,4.73,11823,18,2
92,Maokai,Support,53.00%,0.95%,0.10%,3.05,2.52,5.16,9.58,4,11542,20233,5758,49,0.37,0.43,7443,21,3
93,Maokai,Top,51.43%,1.41%,0.10%,2.44,3.73,5.02,9.43,5,18225,31983,11669,141.7,0.94,1.31,9989,16,1
94,Master Yi,Jungle,51.08%,6.59%,3.33%,2.99,7.66,6.81,4.97,9,15898,27816,10980,34.7,8.91,77.74,11194,3,0
95,Miss Fortune,ADC,50.56%,6.55%,0.39%,4.13,7.15,6.32,8.11,9,19996,18300,2397,157.3,1.8,5.32,11735,12,3
96,Mordekaiser,Top,48.86%,4.39%,1.38%,2.36,6.51,6.32,5.13,8,20868,28046,7879,150.6,2.01,2.97,11163,10,0
97,Morgana,Support,49.84%,6.63%,3.56%,3.39,2.97,5.94,12.12,7,12173,16132,3413,31.3,0.39,0.61,8356,1,0
98,Nami,Support,51.15%,2.86%,0.04%,3.6,1.83,5.47,14,4,8212,13469,10780,14.1,0.08,0.1,7572,18,1
99,Nasus,Top,52.35%,3.57%,0.84%,2.43,5.83,5.41,5.68,7,19198,34166,1871,160.6,2.69,4.48,11562,3,0
100,Nautilus,Support,50.60%,6.63%,2.41%,3.76,2.44,5.91,11.73,5,9033,17953,1578,34.9,0.12,0.19,7692,9,1
101,Neeko,Middle,52.12%,1.60%,0.12%,NaN,6.28,6.09,8.02,7,20076,18756,2326,140.4,1.29,2.93,10684,34,2
102,Neeko,Support,50.99%,0.98%,0.12%,NaN,3.69,6,7.8,7,12929,14498,1377,49.6,0.52,0.89,8024,34,2
103,Nidalee,Jungle,45.46%,2.08%,0.08%,1.96,6.48,6,6.59,8,15270,25989,13705,28.3,10.39,78.69,10336,39,5
104,Nocturne,Jungle,51.61%,3.78%,0.52%,2.61,7.59,6.25,6.42,10,15611,27798,11425,38,8.55,80.21,11427,13,7
105,Nocturne,Middle,53.58%,0.66%,0.52%,4.91,8.87,6.64,6.38,9,19845,24883,5241,157.3,4.29,9.38,12411,9,1
106,Nunu & Willump,Jungle,50.23%,4.16%,0.54%,1.94,4.35,5.73,10.8,7,11457,33481,16419,35.3,6.2,65.47,9829,21,3
107,Nunu & Willump,Middle,49.87%,0.96%,0.54%,2.92,7.62,7.02,10.51,6,18785,31317,12641,121.7,1.69,3.6,10855,37,0
